ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
4,algebraical,JJ,3,"0,1,2",{(algebra)}>ic>>al>,100,4,3692,"88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526"
61,allowably,RB,3,"0,1,2",{(allow)}>able>>y>,100,5,185956,"88,97818599",872,1227992,4,"3,18E-05","0,006025027035","73,64185111",2486,3870233,1,"4,99E-05","0,02981615943"
69,allusively,RB,3,"0,1,2",{(allude)}>ive>>ly>,100,4,2066,"92,74611399",580,1037354,3,"1,74E-05","0,002780781709","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
94,alphabetically,RB,3,"0,1,2",{(alphabet)}>al>>ly>,50,5,6877,"30,27972028",1431,4704731,2,"9,14E-06","0,006642978526","13,49672075",2898,3857999,2,"4,48E-05","0,02672640198"
116,altercations,NN,3,"0,1,2",{(alterc)>ate>}>ion>,0,2,187,"56,62393162",937,2569118,3,"2,65E-05","0,01050517534","58,32290363",1599,6530204,3,"9,03E-06","0,009114784489"
118,alternations,NN,3,"0,1,2",{(altern)>ate>)}>ion>,"83,33333333",7,60362,"57,69230769",937,2569118,3,"2,65E-05","0,01050517534","59,51188986",1599,6530204,3,"9,03E-06","0,009114784489"
119,alternators,NN,3,"0,1,2",{(altern)>ate>)}>or>,"66,66666667",7,60362,"30,98290598",937,2569118,3,"2,65E-05","0,01050517534","33,33333333",289,937614,2,"9,60E-06","0,001390390854"
129,altruistic,JJ,3,"0,1,2",{(altru)>ist>}>ic>,0,4,1217,"22,55965293",462,382916,3,"6,27E-05","0,003707708945","25,86377098",1014,1472797,2,"2,78E-05","0,006334002781"
153,amalgamations,NN,3,"0,1,2",{(amalgam)}>ate>>ion>,100,4,969,"83,65384615",937,2569118,3,"2,65E-05","0,01050517534","85,54443054",1599,6530204,3,"9,03E-06","0,009114784489"
162,amateurishly,RB,3,"0,1,2",{(amateur)}>ish>>ly>,50,5,14878,"56,57370518",252,161977,3,"0,0001111268884","0,002780781709","65,44701415",2898,3857999,2,"4,48E-05","0,02672640198"
165,ambassadorial,JJ,3,"0,1,2",{(ambassad)>or>}>al>,"33,33333333",4,6303,"72,56944444",289,937614,2,"9,60E-06","0,001390390854","65,24475524",1431,4704731,2,"9,14E-06","0,006642978526"
166,ambassadorship,NN,3,"0,1,2",{(ambassad)>or>}>ship>,"66,66666667",4,6303,"83,33333333",289,937614,2,"9,60E-06","0,001390390854",80,76,164220,4,"1,22E-05","0,0003089757454"
172,ambiguously,RB,3,"0,1,2",{(ambigu)>ious>}>ly>,60,6,4939,"45,29220779",617,450833,4,"7,10E-05","0,004943611926","42,59578875",2898,3857999,2,"4,48E-05","0,02672640198"
174,ambitiousness,NN,3,"0,1,2",{(ambit)>ious>}>ness>,100,5,3990,"68,18181818",617,450833,4,"7,10E-05","0,004943611926","49,35587762",1243,181553,4,"0,0005838515475","0,01637571451"
177,ambiguousness,NN,3,"0,1,2",{(ambigu)>ious>}>ness>,100,6,4939,"87,98701299",617,450833,4,"7,10E-05","0,004943611926","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
199,Americanism,NN,3,"0,1,2",{(america)}>n>>ism>,60,6,237016,"46,97986577",150,714837,1,"1,12E-05","0,001235902982","30,74074074",271,218200,3,"5,50E-05","0,001853854472"
200,Americanisms,NN,3,"0,1,2",{(america)}>n>>ism>,60,6,237016,"46,97986577",150,714837,1,"1,12E-05","0,001235902982","30,74074074",271,218200,3,"5,50E-05","0,001853854472"
201,americanized,JJ|VB,3,"0,1,2",{(america)}>n>>ize>,80,6,237016,"49,66442953",150,714837,1,"1,12E-05","0,001235902982","35,66433566",430,443161,3,"0,0001489300728","0,0101961996"
202,americanizes,VB,3,"0,1,2",{(america)}>n>>ize>,80,6,237016,"49,66442953",150,714837,1,"1,12E-05","0,001235902982","35,66433566",430,443161,3,"0,0001489300728","0,0101961996"
203,americanizing,VB|NN|JJ,3,"0,1,2",{(america)}>n>>ize>,80,6,237016,"49,66442953",150,714837,1,"1,12E-05","0,001235902982","35,66433566",430,443161,3,"0,0001489300728","0,0101961996"
256,amputations,NN,3,"0,1,2",{(amput)>ate>}>ion>,100,3,1039,"52,56410256",937,2569118,3,"2,65E-05","0,01050517534","54,06758448",1599,6530204,3,"9,03E-06","0,009114784489"
286,analogously,RB,3,"0,1,2",{(analog)>ious>}>ly>,75,5,11372,"38,7987013",617,450833,4,"7,10E-05","0,004943611926","35,6575768",2898,3857999,2,"4,48E-05","0,02672640198"
412,zippier,JJ,3,"0,1,2",{(zip)}>y>>er>,80,6,25466,"50,30181087",2486,3870233,1,"4,99E-05","0,02981615943","63,44038715",2274,4569119,2,"3,55E-05","0,02502703538"
