ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*
41,allegorically,RB,4,"0,1,3",{(allegor)>ic>}>al>>ly>,"66,66666667",4,828,"70,97729516",1014,1472797,2,"2,78E-05","0,006334002781","77,27272727",1431,4704731,2,"9,14E-06","0,006642978526","51,05281326",2898,3857999,2,"4,48E-05","0,02672640198"
941,whimsicalities,NN,4,"0,1,3",{(whim)>y>>al>}>ity>,100,5,2943,"69,49698189",2486,3870233,1,"4,99E-05","0,02981615943","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","90,50086356",580,1647588,3,"1,76E-05","0,004480148308"
945,whimsicality,NN,4,"0,1,3",{(whim)>y>>al>}>ity>,100,5,2943,"69,49698189",2486,3870233,1,"4,99E-05","0,02981615943","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","90,50086356",580,1647588,3,"1,76E-05","0,004480148308"
946,whimsically,RB,4,"0,1,3",{(whim)>y>>al>}>ly>,75,5,2943,"40,0804829",2486,3870233,1,"4,99E-05","0,02981615943","71,53846154",1431,4704731,2,"9,14E-06","0,006642978526","44,14911978",2898,3857999,2,"4,48E-05","0,02672640198"
1356,voyeuristically,RB,4,"0,1,3",{(voyeur)}>ist>>ic>>ly>,100,3,465,"92,62472885",462,382916,3,"6,27E-05","0,003707708945","90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
1589,weightier,JJ,4,"0,1,3",{(weigh)>t>}>y>>er>,"69,56521739",24,56346,"68,75",49,133535,1,"2,25E-05","0,0004634636181","46,1167002",2486,3870233,1,"4,99E-05","0,02981615943","59,21689397",2274,4569119,2,"3,55E-05","0,02502703538"
1590,weightiest,JJ,4,"0,1,3",{(weigh)>t>}>y>>est>,100,24,56346,"97,91666667",49,133535,1,"2,25E-05","0,0004634636181","81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
1591,weightily,RB,4,"0,1,3",{(weigh)>t>}>y>>ly>,"82,60869565",24,56346,"85,41666667",49,133535,1,"2,25E-05","0,0004634636181","66,0362173",2486,3870233,1,"4,99E-05","0,02981615943","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
1592,weightiness,NN,4,"0,1,3",{(weigh)>t>}>y>>ness>,"91,30434783",24,56346,"93,75",49,133535,1,"2,25E-05","0,0004634636181","73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
1593,weightlessly,RB,4,"0,1,3",{(weigh)>t>}>less>>ly>,"82,60869565",24,56346,"85,41666667",49,133535,1,"2,25E-05","0,0004634636181","79,29155313",368,158354,4,"0,0001199843389","0,002935269581","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
1797,veritably,RB,4,"0,1,3",{(veri)>it>>able>}>y>,100,8,23444,"84,61538462",27,111694,2,0,0,"66,70493685",872,1227992,4,"3,18E-05","0,006025027035","46,88128773",2486,3870233,1,"4,99E-05","0,02981615943"
2011,visualizations,NN,4,"0,1,3",{(vis)>al>}>ize>>ion>,"33,33333333",19,123713,"13,21678322",1431,4704731,2,"9,14E-06","0,006642978526","4,428904429",430,443161,3,"0,0001489300728","0,0101961996","17,39674593",1599,6530204,3,"9,03E-06","0,009114784489"
2317,usuriously,RB,4,"0,1,3",{(usur)>y>}>ious>>ly>,75,5,218,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,98701299",617,450833,4,"7,10E-05","0,004943611926","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
2318,usuriousness,NN,4,"0,1,3",{(usur)>y>}>ious>>ness>,75,5,218,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,98701299",617,450833,4,"7,10E-05","0,004943611926","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
2346,vacationists,NN,4,"0,1,3",{(vacu)>ate>}>ion>>ist>,100,16,22838,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489","95,66160521",462,382916,3,"6,27E-05","0,003707708945"
2349,vacationist,NN|JJ,4,"0,1,3",{(vacu)>ate>}>ion>>ist>,100,16,22838,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489","95,66160521",462,382916,3,"6,27E-05","0,003707708945"
3132,tyrannically,RB,4,"0,1,3",{(tyran)>ic>}>al>>ly>,100,7,5421,"84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
3255,traitorously,RB,4,"0,1,3",{(trait)>or>}>ious>>ly>,75,5,7541,"91,31944444",289,937614,2,"9,60E-06","0,001390390854","76,78571429",617,450833,4,"7,10E-05","0,004943611926","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
