ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*,SUFF4_PFMF,SUFF4_FamSize,SUFF4_Freq_HAL,SUFF4_length,SUFF4_P,SUFF4_P*
4131,theistically,RB,5,"0,1,4",{(theo)>ist>}>ic>>al>>ly>,"96,42857143",29,30978,"92,62472885",462,382916,3,"6,27E-05","0,003707708945","90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
8707,sensationalists,NN,5,"0,1,4",{(sense)}>ate>>ion>>al>>ist>,"48,88888889",46,144057,"60,8974359",937,2569118,3,"2,65E-05","0,01050517534","62,45306633",1599,6530204,3,"9,03E-06","0,009114784489","56,5034965",1431,4704731,2,"9,14E-06","0,006642978526","50,10845987",462,382916,3,"6,27E-05","0,003707708945"
8708,sensationally,RB,5,"0,1,4",{(sense)}>ate>>ion>>al>>ly>,"84,44444444",46,144057,"84,50854701",937,2569118,3,"2,65E-05","0,01050517534","86,85857322",1599,6530204,3,"9,03E-06","0,009114784489","81,60839161",1431,4704731,2,"9,14E-06","0,006642978526","57,16258198",2898,3857999,2,"4,48E-05","0,02672640198"
13693,phosphorescently,RB|JJ,5,"0,1,4",{(phosphor)>or>>esc>}>ant>>ly>,100,12,2062,"95,48611111",289,937614,2,"9,60E-06","0,001390390854",100,19,1822,3,"0,001646542261","0,0004634636181","96,32829374",464,1534593,3,"7,82E-06","0,001853854472","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
14503,paternalistically,NN|VB,5,"0,1,4",{(pater)>al>}>ist>>ic>>ally>,"96,15384615",27,10676,"86,08391608",1431,4704731,2,"9,14E-06","0,006642978526","85,46637744",462,382916,3,"6,27E-05","0,003707708945","80,55281343",1014,1472797,2,"2,78E-05","0,006334002781",0,6,10,4,"0,1","0,0001544878727"
16325,nationalistically,RB,5,"0,1,4",{(nation)}>al>>ist>>ic>>ly>,"90,90909091",23,303858,"96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","95,66160521",462,382916,3,"6,27E-05","0,003707708945","94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
16344,naturalistically,RB,5,"0,1,4",{(nature)>al>}>ist>>ic>>ly>,100,22,119108,"91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","91,10629067",462,382916,3,"6,27E-05","0,003707708945","88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
21445,journalistically,RB,5,"0,1,4",{(journ)>al>}>ist>>ic>>ly>,"88,88888889",10,48357,"90,55944056",1431,4704731,2,"9,14E-06","0,006642978526","89,80477223",462,382916,3,"6,27E-05","0,003707708945","86,5745311",1014,1472797,2,"2,78E-05","0,006334002781","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
22323,imperialistically,RB,5,"0,1,4",{(empire)>al>}>ist>>ic>>ly>,"81,81818182",12,36330,"88,32167832",1431,4704731,2,"9,14E-06","0,006642978526","87,20173536",462,382916,3,"6,27E-05","0,003707708945","83,51431392",1014,1472797,2,"2,78E-05","0,006334002781","68,65723162",2898,3857999,2,"4,48E-05","0,02672640198"
26700,fictionalization,NN,5,"0,1,4",{(fict)>ion>}>al>>ize>>ion>,100,8,23437,"92,49061327",1599,6530204,3,"9,03E-06","0,009114784489","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","85,31468531",430,443161,3,"0,0001489300728","0,0101961996","92,49061327",1599,6530204,3,"9,03E-06","0,009114784489"
28030,equatorially,RB,5,"0,1,4",{(equi)>ate>}>or>>al>>y>,"77,55102041",50,127793,"87,82051282",937,2569118,3,"2,65E-05","0,01050517534","86,80555556",289,937614,2,"9,60E-06","0,001390390854","85,24475524",1431,4704731,2,"9,14E-06","0,006642978526","57,90744467",2486,3870233,1,"4,99E-05","0,02981615943"
