ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL
109,altarpieces,NN,2,"0,2,0",{(altar)}{(piece)},100,2,3607,"90,90909091",23,77902
123,altimeter,NN,2,"0,2,0",{(alti)(meter)},50,3,4712,"35,0877193",58,68090
124,altimeters,NN,2,"0,2,0",{(alti)(meter)},50,3,4712,"35,0877193",58,68090
213,AMICAM,NN,2,"0,2,0",{(ami)}{(cam)},100,2,23,100,3,4569
215,amidships,RB,2,"0,2,0",{(amid)(ship)},100,2,992,"64,70588235",35,184087
243,amphitheatre,NN,2,"0,2,0",{(amphi)(theater)},0,1,321,40,6,23450
244,amphitheatres,NN,2,"0,2,0",{(amphi)(theater)},0,1,321,40,6,23450
326,anchormen,NN,2,"0,2,0",{(anchor)}{(men)},100,4,5925,"57,32484076",158,125014
400,zigzagged,VB|JJ,2,"0,2,0",{(zig)}{(zag)},0,1,148,0,1,148
401,zigzags,VB|NN,2,"0,2,0",{(zig)}{(zag)},0,1,148,0,1,148
449,wolfhounds,NN,2,"0,2,0",{(wolf)}{(hound)},"33,33333333",4,32798,60,6,8037
465,womanlike,JJ|RB,2,"0,2,0",{(woman)}{(like)},"83,78378378",38,74275,"69,8630137",74,1232275
469,wonderlands,NN,2,"0,2,0",{(wonder)}{(land)},"37,5",9,143680,"18,96551724",59,140623
477,woodblocks,NN,2,"0,2,0",{(wood)}{(block)},"67,30769231",53,58074,"87,5",9,61271
480,woodcocks,NN,2,"0,2,0",{(wood)}{(cock)},"19,23076923",53,58074,"31,57894737",20,33086
481,woodcrafts,NN,2,"0,2,0",{(wood)}{(craft)},"42,30769231",53,58074,"52,17391304",24,34488
482,woodcuts,NN,2,"0,2,0",{(wood)}{(cut)},"40,38461538",53,58074,50,23,137517
489,woodlands,NN,2,"0,2,0",{(wood)}(land),"7,692307692",53,58074,"15,51724138",59,140623
490,woodlice,NN,2,"0,2,0",{(wood)}{(lice)},75,53,58074,100,2,405
491,woodlouse,NN,2,"0,2,0",{(wood)}{(louse)},"90,38461538",53,58074,100,7,5171
492,WOODMAN'S,encl,2,"0,2,0",{(wood)}(man),"30,76923077",53,58074,"30,47619048",211,300379
493,woodmen,NN,2,"0,2,0",{(wood)}(men),"55,76923077",53,58074,"40,76433121",158,125014
498,woodsheds,NN,2,"0,2,0",{(wood)}{(shed)},50,53,58074,60,6,9371
500,WOODSMOKE,NN|VB,2,"0,2,0",{(wood)}{(smoke)},"71,15384615",53,58074,"72,72727273",12,33020
501,WOODWARDS,NN,2,"0,2,0",{(wood)}{(ward)},"84,61538462",53,58074,"77,77777778",10,27534
502,woodworms,NN,2,"0,2,0",{(wood)}{(worm)},"71,15384615",53,58074,"64,28571429",15,13222
508,woolgather,VB,2,"0,2,0",{(wool)}{(gather)},"37,5",9,2761,"66,66666667",4,22671
509,woolgathered,VB,2,"0,2,0",{(wool)}{(gather)},"37,5",9,2761,"66,66666667",4,22671
510,woolgathering,NN|JJ|VB,2,"0,2,0",{(wool)}{(gather)},"37,5",9,2761,"66,66666667",4,22671
511,woolgathers,VB,2,"0,2,0",{(wool)}{(gather)},"37,5",9,2761,"66,66666667",4,22671
519,woolsack,NN,2,"0,2,0",{(wool)}{(sack)},"62,5",9,2761,"83,33333333",7,4174
529,wordbook,NN,2,"0,2,0",{(word)}{(book)},90,21,268282,"86,53846154",53,351390
530,wordbooks,NN,2,"0,2,0",{(word)}{(book)},90,21,268282,"86,53846154",53,351390
539,workbags,NN,2,"0,2,0",{(work)}{(bag)},"95,29411765",86,1051110,84,26,30703
540,workbaskets,NN,2,"0,2,0",{(work)}{(basket)},"76,47058824",86,1051110,"85,71428571",8,13516
541,workbenches,NN,2,"0,2,0",{(work)}{(bench)},"9,411764706",86,1051110,40,6,12640
542,workbooks,NN,2,"0,2,0",{(work)}{(book)},"18,82352941",86,1051110,25,53,351390
543,workbox,NN,2,"0,2,0",{(work)}{(box)},"91,76470588",86,1051110,"88,46153846",27,219013
544,workboxes,NN,2,"0,2,0",{(work)}{(box)},"91,76470588",86,1051110,"88,46153846",27,219013
545,workdays,NN,2,"0,2,0",{(work)}{(day)},"38,82352941",86,1051110,"67,64705882",35,778343
546,workhorses,NN,2,"0,2,0",{(work)}{(horse)},"32,94117647",86,1051110,"20,58823529",35,39630
547,workhouses,NN,2,"0,2,0",{(work)}{(house)},"65,88235294",86,1051110,"53,33333333",91,155845
550,workrooms,NN,2,"0,2,0",{(work)}{(room)},"61,17647059",86,1051110,"56,81818182",45,125676
551,worktables,NN,2,"0,2,0",{(work)}{(table)},"74,11764706",86,1051110,"85,71428571",15,78897
587,WRAPPIN,NN|VB,2,"0,2,0",{(wrap)}{(pin)},100,4,18167,"95,23809524",22,42754
620,wristbands,NN,2,"0,2,0",{(wrist)}{(band)},"66,66666667",4,6831,50,21,86476
625,wristwatches,NN,2,"0,2,0",{(wrist)}{(watch)},"33,33333333",4,6831,"47,05882353",18,112901
629,wrongdoings,NN,2,"0,2,0",{(wrong)}{(do)},25,9,143655,30,11,3190772
631,wrongheaded,JJ,2,"0,2,0",{(wrong)}{(head)},75,9,143655,"58,7628866",98,230581
686,YAMABE,NN,2,"0,2,0",{(yam)}{(abe)},100,2,697,100,2,1238
699,yardarm,NN,2,"0,2,0",{(yard)}{(arm)},"78,94736842",20,22835,"95,23809524",22,91824
700,yardarms,NN,2,"0,2,0",{(yard)}{(arm)},"78,94736842",20,22835,"95,23809524",22,91824
701,yardsticks,NN,2,"0,2,0",{(yard)}{(stick)},"31,57894737",20,22835,"27,27272727",23,62310
716,yearbooks,NN,2,"0,2,0",{(year)}{(book)},"33,33333333",7,608132,"19,23076923",53,351390
740,yeomen,NN,2,"0,2,0",{(yeo)(men)},50,3,267,"40,12738854",158,125014
743,yesterdays,NN,2,"0,2,0",{(yester)(day)},0,2,23613,"17,64705882",35,778343
798,Yugoslavs,NN,2,"0,2,0",{(yugo)(slav)},50,3,10534,25,5,13656
895,whatnots,NN,2,"0,2,0",{(what)}{(not)},100,5,1522214,100,4,2716789
906,wheelbarrows,NN,2,"0,2,0",{(wheel)}{(barrow)},"41,66666667",13,38202,100,2,1112
907,wheelbases,NN,2,"0,2,0",{(wheel)}{(base)},50,13,38202,"42,10526316",20,341952
908,wheelchairs,NN,2,"0,2,0",{(wheel)}{(chair)},"16,66666667",13,38202,"22,22222222",10,37226
911,wheelhouses,NN,2,"0,2,0",{(wheel)}{(house)},"66,66666667",13,38202,"46,66666667",91,155845
914,wheelwrights,NN,2,"0,2,0",{(wheel)}{(wright)},"83,33333333",13,38202,100,5,8943
931,whetstones,NN,2,"0,2,0",{(whet)}{(stone)},100,2,359,"37,20930233",44,61759
951,whipcord,NN,2,"0,2,0",{(whip)}{(cord)},"83,33333333",7,10471,"91,66666667",13,13224
963,whirlpools,NN,2,"0,2,0",{(whirl)}{(pool)},100,3,4756,"33,33333333",4,24734
965,whirlwinds,NN,2,"0,2,0",{(whirl)}{(wind)},50,3,4756,"8,823529412",35,40204
977,WHITCOMB,NN,2,"0,2,0",{(whit)(comb)},25,5,810,25,9,3422
978,whitebait,NN,2,"0,2,0",{(white)}{(bait)},"77,77777778",19,162243,50,3,5636
979,whitecaps,NN,2,"0,2,0",{(white)}{(cap)},"66,66666667",19,162243,"57,14285714",15,22741
980,Whitehall,NN,2,"0,2,0",{(white)}{(hall)},"44,44444444",19,162243,50,7,40301
984,WHITEMARSH,NN,2,"0,2,0",{(white)}{(marsh)},"83,33333333",19,162243,60,6,5379
987,whitethorn,NN,2,"0,2,0",{(white)}{(thorn)},"88,88888889",19,162243,"83,33333333",7,5026
988,whitethorns,NN,2,"0,2,0",{(white)}{(thorn)},"88,88888889",19,162243,"83,33333333",7,5026
989,whitethroat,NN,2,"0,2,0",{(white)}{(throat)},"94,44444444",19,162243,100,7,9860
990,whitethroats,NN,2,"0,2,0",{(white)}{(throat)},"94,44444444",19,162243,100,7,9860
991,whitewashes,VB|NN,2,"0,2,0",{(white)}{(wash)},"16,66666667",19,162243,"21,73913043",24,24337
992,whitewashing,VB|NN|JJ,2,"0,2,0",{(white)}{(wash)},"16,66666667",19,162243,"21,73913043",24,24337
995,Whitsun,NN,2,"0,2,0",{(whit)(sun)},75,5,810,"80,48780488",42,132019
996,Whitsuns,NN,2,"0,2,0",{(whit)(sun)},75,5,810,"80,48780488",42,132019
1001,WHITTIER'S,NN,2,"0,2,0",{(whit)}{(tier)},50,5,810,50,3,2599
1018,whorehouses,NN,2,"0,2,0",{(whore)}{(house)},50,3,3784,"24,44444444",91,155845
1019,whoremongers,NN,2,"0,2,0",{(whore)}{(monger)},100,3,3784,40,11,813
1023,whoso,minor,2,"0,2,0",{(who)}{(so)},60,6,973499,50,9,1272468
1030,WICKHAM,NN,2,"0,2,0",{(wick)(ham)},80,6,1756,"64,28571429",15,17536
1032,WIDEGRIP,NN|VB,2,"0,2,0",{(wide)}{(grip)},100,13,118804,"33,33333333",4,11463
1062,wildcats,NN,2,"0,2,0",{(wild)}{(cat)},"27,27272727",12,42951,"4,545454545",23,65424
1068,WILDHACK,NN|VB,2,"0,2,0",{(wild)}{(hack)},"81,81818182",12,42951,"66,66666667",4,20557
1114,windbags,NN,2,"0,2,0",{(wind)}{(bag)},"47,05882353",35,40204,28,26,30703
1118,windfalls,NN,2,"0,2,0",{(wind)}{(fall)},"32,35294118",35,40204,"60,86956522",24,104794
1119,WINDHAM,NN,2,"0,2,0",{(wind)(ham)},"20,58823529",35,40204,"35,71428571",15,17536
1127,windmills,NN,2,"0,2,0",{(wind)}{(mill)},"11,76470588",35,40204,"26,31578947",20,39860
1128,windowsills,NN,2,"0,2,0",{(window)}{(sill)},"33,33333333",4,282873,100,2,826
1129,windpipe,NN,2,"0,2,0",{(wind)}{(pipe)},"67,64705882",35,40204,"35,71428571",15,27481
1130,windpipes,NN,2,"0,2,0",{(wind)}{(pipe)},"67,64705882",35,40204,"35,71428571",15,27481
1131,windscreens,NN,2,"0,2,0",{(wind)}{(screen)},"35,29411765",35,40204,60,6,88645
1132,windshields,NN,2,"0,2,0",{(wind)}{(shield)},"2,941176471",35,40204,"33,33333333",4,23511
1134,windsocks,NN,2,"0,2,0",{(wind)}{(sock)},"61,76470588",35,40204,100,2,5093
1135,windstorms,NN,2,"0,2,0",{(wind)}{(storm)},"58,82352941",35,40204,"57,14285714",15,27364
1139,wineglasses,NN,2,"0,2,0",{(wine)}{(glass)},60,6,14980,"58,82352941",18,35363
1140,WINEHEAD,NN,2,"0,2,0",{(wine)}{(head)},100,6,14980,"91,75257732",98,230581
1141,winepresses,NN,2,"0,2,0",{(wine)}{(press)},40,6,14980,"79,16666667",73,340039
1142,wineskins,NN,2,"0,2,0",{(wine)}{(skin)},80,6,14980,"62,96296296",28,39833
1145,wingspans,NN,2,"0,2,0",{(wing)}{(spain)},"33,33333333",10,26792,100,4,26628
1146,wingspreads,NN,2,"0,2,0",{(wing)}{(spread)},"55,55555556",10,26792,100,7,35848
1174,wiretapping,NN,2,"0,2,0",{(wire)}{(tap)},25,13,37645,50,5,19008
1175,wiretaps,NN,2,"0,2,0",{(wire)}{(tap)},25,13,37645,50,5,19008
1176,wireworms,NN,2,"0,2,0",{(wire)}{(worm)},"83,33333333",13,37645,"78,57142857",15,13222
1183,wisecracking,VB|NN|JJ,2,"0,2,0",{(wise)}{(crack)},"66,66666667",10,29935,"66,66666667",10,21939
1184,wisecracks,NN|VB,2,"0,2,0",{(wise)}{(crack)},"66,66666667",10,29935,"66,66666667",10,21939
1187,wishbones,NN,2,"0,2,0",{(wish)}{(bone)},"66,66666667",4,99839,"38,46153846",27,31548
1190,WISMAN'S,encl,2,"0,2,0",{(wis)}{(man)},100,3,626,"90,95238095",211,300379
1194,Wistar,NN|VB,2,"0,2,0",{(wis)}{(tar)},50,3,626,50,3,8889
1202,withdraws,VB,2,"0,2,0",{(with)}{(draw)},20,16,3580107,"22,22222222",10,76896
1208,withholds,VB,2,"0,2,0",{(with)}{(hold)},"46,66666667",16,3580107,"20,68965517",30,140327
1210,withstanding,VB,2,"0,2,0",{(with)}{(stand)},"53,33333333",16,3580107,"15,38461538",27,111818
1214,WITOLD,JJ|NN,2,"0,2,0",{(wit)}{(old)},"58,82352941",18,10063,"83,33333333",7,281185
1259,vivisect,VB,2,"0,2,0",{(vive)(sect)},"57,69230769",27,48706,"77,77777778",19,147908
1260,vivisected,VB|JJ,2,"0,2,0",{(vive)(sect)},"57,69230769",27,48706,"77,77777778",19,147908
1261,vivisecting,VB,2,"0,2,0",{(vive)(sect)},"57,69230769",27,48706,"77,77777778",19,147908
1265,vivisects,VB,2,"0,2,0",{(vive)(sect)},"57,69230769",27,48706,"77,77777778",19,147908
1296,VOLARE,VB,2,"0,2,0",{(vol)}{(are)},"63,63636364",12,22012,100,2,3049004
1306,volleyballs,NN,2,"0,2,0",{(volley)}{(ball)},0,2,3024,"22,22222222",28,117537
