ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
204,Amerindian,NN|JJ,3,"0,2,1",{(america)(indo)>n>},100,6,237016,100,6,68287,"64,4295302",150,714837,1,"1,12E-05","0,001235902982"
205,Amerindians,NN,3,"0,2,1",{(america)(indo)>n>},100,6,237016,100,6,68287,"64,4295302",150,714837,1,"1,12E-05","0,001235902982"
242,AMPHIBOLOGY,NN,3,"0,2,1",{(amphibio)(log)>y>},100,3,1020,"95,79439252",215,380513,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
430,zoologists,NN,3,"0,2,1",{(zoo)(log)>ist>},"66,66666667",4,6038,"39,25233645",215,380513,"31,670282",462,382916,3,"6,27E-05","0,003707708945"
494,woodpeckers,NN,3,"0,2,1",{(wood)}{(peck)}>er>,"21,15384615",53,58074,25,5,2349,"26,35283766",2274,4569119,2,"3,55E-05","0,02502703538"
538,workaday,JJ,3,"0,2,1",{(work)>a>(day)},"44,70588235",86,1051110,"66,66666667",61,89636,"2,23E-05","0,0003089757454","76,47058824",35,778343,3
628,wrongdoers,NN,3,"0,2,1",{(wrong)}{(do)}>er>,"62,5",9,143655,90,11,3190772,"44,65464144",2274,4569119,2,"3,55E-05","0,02502703538"
632,wrongheadedly,RB,3,"0,2,1",{(wrong)}{(head)}>ly>,100,9,143655,"91,75257732",98,230581,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
633,wrongheadedness,NN,3,"0,2,1",{(wrong)}{(head)}>ness>,"87,5",9,143655,"80,41237113",98,230581,"53,54267311",1243,181553,4,"0,0005838515475","0,01637571451"
739,yeomanry,NN,3,"0,2,1",{(yeo)(man)}>ory>,100,3,267,"66,66666667",211,300379,"72,3943662",356,725186,3,"2,62E-05","0,002935269581"
862,westernmost,JJ,3,"0,2,1",{(west)}>ern>{(most)},"66,66666667",22,126506,85,21,123023,"2,44E-05","0,0004634636181","44,44444444",19,536230,4
1010,wholesaler,NN,3,"0,2,1",{(whole)}{(sale)}>er>,"44,44444444",10,131881,"33,33333333",13,162852,"19,26968764",2274,4569119,2,"3,55E-05","0,02502703538"
1115,windbreakers,NN,3,"0,2,1",{(wind)}{(break)}>er>,"52,94117647",35,40204,"54,54545455",34,95043,"44,39067312",2274,4569119,2,"3,55E-05","0,02502703538"
1116,windcheater,NN,3,"0,2,1",{(wind)}{(cheat)}>er>,"94,11764706",35,40204,100,2,13512,"76,46282446",2274,4569119,2,"3,55E-05","0,02502703538"
1117,windcheaters,NN,3,"0,2,1",{(wind)}{(cheat)}>er>,"94,11764706",35,40204,100,2,13512,"76,46282446",2274,4569119,2,"3,55E-05","0,02502703538"
1124,windjammers,NN,3,"0,2,1",{(wind)}{(jam)}>er>,"44,11764706",35,40204,25,5,14922,"37,87945447",2274,4569119,2,"3,55E-05","0,02502703538"
1201,withdrawals,NN,3,"0,2,1",{(with)}{(draw)}>al>,"26,66666667",16,3580107,"44,44444444",10,76896,"16,29370629",1431,4704731,2,"9,14E-06","0,006642978526"
1258,viviparous,JJ,3,"0,2,1",{(vive)(par)>ious>},"80,76923077",27,48706,90,21,34876,"71,1038961",617,450833,4,"7,10E-05","0,004943611926"
1264,vivisections,NN,3,"0,2,1",{(vive)(sect)}>ion>,"30,76923077",27,48706,"55,55555556",19,147908,"52,7534418",1599,6530204,3,"9,03E-06","0,009114784489"
1389,washerwomen,NN,3,"0,2,1",{(wash)}>er>(women),"82,60869565",24,24337,"87,1975363",2274,4569119,"3,55E-05","0,02502703538","72,4137931",30,123504,5
1391,washerwoman,NN,3,"0,2,1",{(wash)}>er>(woman),"69,56521739",24,24337,"66,65200176",2274,4569119,"3,55E-05","0,02502703538","45,94594595",38,74275,5
1460,watchmakers,NN,3,"0,2,1",{(watch)}{(make)}>er>,"52,94117647",18,112901,"58,97435897",40,1073485,"47,38231412",2274,4569119,2,"3,55E-05","0,02502703538"
1511,wayfarers,NN,3,"0,2,1",{(way)(fare)}>er>,"64,51612903",63,727683,"71,42857143",8,33108,"48,43818742",2274,4569119,2,"3,55E-05","0,02502703538"
1513,waylain,VB,3,"0,2,1",{(way)}{(lay)}>n>,"95,16129032",63,727683,100,25,55753,"99,32885906",150,714837,1,"1,12E-05","0,001235902982"
1567,weekender,NN,3,"0,2,1",{(week)}{(end)}>er>,"88,88888889",10,236278,75,13,328521,"51,29784426",2274,4569119,2,"3,55E-05","0,02502703538"
1568,weekenders,NN,3,"0,2,1",{(week)}{(end)}>er>,"88,88888889",10,236278,75,13,328521,"51,29784426",2274,4569119,2,"3,55E-05","0,02502703538"
1633,welterweights,NN,3,"0,2,1",{(welter)}{(weigh)>t>},100,2,174,"60,86956522",24,56346,"60,41666667",49,133535,1,"2,25E-05","0,0004634636181"
1760,ventriloquists,NN,3,"0,2,1",{(ventr)(loqu)>ist>},0,2,173,"22,72727273",23,3533,"48,15618221",462,382916,3,"6,27E-05","0,003707708945"
1796,verisimilitudes,NN,3,"0,2,1",{(veri)(simil)>itude>},"85,71428571",8,23444,80,11,121791,"54,83870968",32,16660,5,"0,0001200480192","0,0003089757454"
1928,viewfinders,NN,3,"0,2,1",{(view)}{(find)}>er>,"66,66666667",10,230132,50,7,435097,"28,20061593",2274,4569119,2,"3,55E-05","0,02502703538"
1967,violoncellist,NN,3,"0,2,1",{(violon)(cello)>ist>},100,2,24,100,4,1821,"88,5032538",462,382916,3,"6,27E-05","0,003707708945"
1968,violoncellists,NN,3,"0,2,1",{(violon)(cello)>ist>},100,2,24,100,4,1821,"88,5032538",462,382916,3,"6,27E-05","0,003707708945"
1983,virologist,NN,3,"0,2,1",{(vir)(log)>ist>},100,3,34930,"61,21495327",215,380513,"59,65292842",462,382916,3,"6,27E-05","0,003707708945"
1984,virologists,NN,3,"0,2,1",{(vir)(log)>ist>},100,3,34930,"61,21495327",215,380513,"59,65292842",462,382916,3,"6,27E-05","0,003707708945"
2267,uppercuts,NN,3,"0,2,1",{(up)}>er>{(cut)},"31,57894737",39,1065085,"16,27804663",2274,4569119,"3,55E-05","0,02502703538","18,18181818",23,137517,3
2376,vainglorious,JJ,3,"0,2,1",{(vain)}{(glory)}>ious>,"33,33333333",7,2909,"55,55555556",10,15302,"54,70779221",617,450833,4,"7,10E-05","0,004943611926"
2382,valediction,NN,3,"0,2,1",{(val)(dict)>ion>},75,21,41544,"94,73684211",39,77658,"91,42678348",1599,6530204,3,"9,03E-06","0,009114784489"
2383,valedictions,NN,3,"0,2,1",{(val)(dict)>ion>},75,21,41544,"94,73684211",39,77658,"91,42678348",1599,6530204,3,"9,03E-06","0,009114784489"
2384,valedictory,JJ,3,"0,2,1",{(val)(dict)>ory>},60,21,41544,"86,84210526",39,77658,"79,43661972",356,725186,3,"2,62E-05","0,002935269581"
3120,typesetter,NN,3,"0,2,1",{(typo)}{(set)}>er>,40,36,282037,"60,86956522",24,474416,"29,38847338",2274,4569119,2,"3,55E-05","0,02502703538"
3121,typesetters,NN,3,"0,2,1",{(typo)}{(set)}>er>,40,36,282037,"60,86956522",24,474416,"29,38847338",2274,4569119,2,"3,55E-05","0,02502703538"
3128,typographer,NN,3,"0,2,1",{(typo)}(graph)>er>,"74,28571429",36,282037,"56,52173913",116,198105,"47,38231412",2274,4569119,2,"3,55E-05","0,02502703538"
3129,typographers,NN,3,"0,2,1",{(typo)}(graph)>er>,"74,28571429",36,282037,"56,52173913",116,198105,"47,38231412",2274,4569119,2,"3,55E-05","0,02502703538"
