ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
429,zoological,JJ,4,"0,2,2",{(zoo)(log)>ic>>al>},100,4,6038,"47,6635514",215,380513,"41,26357354",1014,1472797,2,"2,78E-05","0,006334002781","50,55944056",1431,4704731,2,"9,14E-06","0,006642978526"
797,Yugoslavians,NN,4,"0,2,2",{(yugo)(slav)>ia>}>n>,100,3,10534,100,5,13656,"66,66666667",46,69613,2,0,0,"55,70469799",150,714837,1,"1,12E-05","0,001235902982"
952,whippersnappers,NN,4,"0,2,2",{(whip)}>er>{(snap)}>er>,"16,66666667",7,10471,"34,09590849",2274,4569119,"3,55E-05","0,02502703538","33,33333333",13,16890,4,"34,09590849",2274,4569119,2,"3,55E-05","0,02502703538"
1262,vivisectionist,NN,4,"0,2,2",{(vive)(sect)}>ion>>ist>,50,27,48706,"72,22222222",19,147908,"72,96620776",1599,6530204,3,"9,03E-06","0,009114784489","63,99132321",462,382916,3,"6,27E-05","0,003707708945"
1263,vivisectionists,NN,4,"0,2,2",{(vive)(sect)}>ion>>ist>,50,27,48706,"72,22222222",19,147908,"72,96620776",1599,6530204,3,"9,03E-06","0,009114784489","63,99132321",462,382916,3,"6,27E-05","0,003707708945"
1279,VOCABULARIANISM,NN,4,"0,2,2",{(voc)>abulary>}>ian>{(ism)},100,23,38814,100,2,2966,0,0,"99,42196532",174,394113,3,"2,79E-05","0,0016993666","83,33333333",7,610,3
2350,VACATIONLAND,NN,4,"0,2,2",{(vacu)>ate>}>ion>{(land)},"73,33333333",16,22838,"85,68376068",937,2569118,"2,65E-05","0,01050517534","87,922403",1599,6530204,3,"9,03E-06","0,009114784489","82,75862069",59,140623,4
2377,vaingloriously,RB,4,"0,2,2",{(vain)}{(glory)}>ious>>ly>,100,7,2909,100,10,15302,"82,95454545",617,450833,4,"7,10E-05","0,004943611926","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
2895,trustworthiness,NN,4,"0,2,2",{(trust)}{(worth)}>y>>ness>,"36,36363636",23,42953,"34,48275862",30,103812,"25,47283702",2486,3870233,1,"4,99E-05","0,02981615943","9,98389694",1243,181553,4,"0,0005838515475","0,01637571451"
3130,typographical,JJ,4,"0,2,2",{(typo)}(graph)>ic>>al>,"37,14285714",36,282037,"28,69565217",116,198105,"30,10858835",1014,1472797,2,"2,78E-05","0,006334002781","40,27972028",1431,4704731,2,"9,14E-06","0,006642978526"
3889,topographical,JJ,4,"0,2,2",{(topo)(graph)>ic>}>al>,50,5,834,"53,91304348",116,198105,"52,31984205",1014,1472797,2,"2,78E-05","0,006334002781","60,34965035",1431,4704731,2,"9,14E-06","0,006642978526"
4000,toxicologist,NN,4,"0,2,2",{(toxico)>ic>}(log)>ist>,"87,5",9,9315,"58,83514314",1014,1472797,"2,78E-05","0,006334002781","62,61682243",215,380513,3,"63,12364425",462,382916,3,"6,27E-05","0,003707708945"
4001,toxicologists,NN,4,"0,2,2",{(toxico)>ic>}(log)>ist>,"87,5",9,9315,"58,83514314",1014,1472797,"2,78E-05","0,006334002781","62,61682243",215,380513,3,"63,12364425",462,382916,3,"6,27E-05","0,003707708945"
4153,theosophical,JJ,4,"0,2,2",{(theo)(soph)>ic>>al>},"57,14285714",29,30978,"78,57142857",15,39925,"50,54294176",1014,1472797,2,"2,78E-05","0,006334002781","59,51048951",1431,4704731,2,"9,14E-06","0,006642978526"
4596,tautological,JJ,4,"0,2,2",{(tauto)(log)>ic>>al>},"33,33333333",7,1147,"58,87850467",215,380513,"53,8005923",1014,1472797,2,"2,78E-05","0,006334002781","61,60839161",1431,4704731,2,"9,14E-06","0,006642978526"
4822,terminological,JJ,4,"0,2,2",{(termin)(log)>ic>>al>},"66,66666667",16,51262,"62,61682243",215,380513,"58,83514314",1014,1472797,2,"2,78E-05","0,006334002781","65,24475524",1431,4704731,2,"9,14E-06","0,006642978526"
5364,suicidally,RB,4,"0,2,2",{(sui)(cide)}>al>>ly>,100,4,17651,"52,94117647",18,19920,"70,13986014",1431,4704731,2,"9,14E-06","0,006642978526","42,83741802",2898,3857999,2,"4,48E-05","0,02672640198"
6185,standoffishness,NN,4,"0,2,2",{(stand)}{(off)}>ish>>ness>,"88,46153846",27,111818,"94,11764706",18,321120,"81,2749004",252,161977,3,"0,0001111268884","0,002780781709","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
6417,southwesterly,JJ|RB,4,"0,2,2",{(south)}{(west)}>er>>ly>,"73,68421053",20,104091,"85,71428571",22,126506,"76,46282446",2274,4569119,2,"3,55E-05","0,02502703538","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
