ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,ROOT3_PFMF,ROOT3_FamSize,ROOT3_Freq_HAL
108,ALTAIRIANS,NN,3,"0,3,0",{(alti)}{(air)}{(ian)},100,3,4712,"85,41666667",49,149120,"83,33333333",7,122
549,workmanlike,JJ|RB,3,"0,3,0",{(work)}(man){(like)},"55,29411765",86,1051110,"58,57142857",211,300379,"31,50684932",74,1232275
997,Whitsuntide,NN,3,"0,3,0",{(whit)(sun)}{(tide)},100,5,810,"87,80487805",42,132019,"85,71428571",8,8720
998,Whitsuntides,NN,3,"0,3,0",{(whit)(sun)}{(tide)},100,5,810,"87,80487805",42,132019,"85,71428571",8,8720
1008,whodunits,NN,3,"0,3,0",{(who)}{(dun)}{(it)},100,6,973499,100,2,1673,100,7,5468974
1009,WHODUNNIT,NN,3,"0,3,0",{(who)}{(dunn)}{(it)},80,6,973499,100,2,3084,"83,33333333",7,5468974
1303,VOLKENSTEIN,NN,3,"0,3,0",{(vol)}{(ken)}{(stein)},100,12,22012,100,5,30518,100,2,2815
1958,VINOGRADOFF,NN|JJ|VB,3,"0,3,0",{(vino)}{(grad)}{(off)},100,2,419,100,4,10214,"94,11764706",18,321120
2214,WAREHOUSEMAN'S,encl,3,"0,3,0",{(ware)}{(house)}{(man)},100,21,419541,"85,55555556",91,155845,"90,95238095",211,300379
4210,thingumajig,NN,3,"0,3,0",{(thing)(uma)(jig)},100,9,1328712,0,1,2,"83,33333333",7,1981
4211,thingumajigs,NN,3,"0,3,0",{(thing)(uma)(jig)},100,9,1328712,0,1,2,"83,33333333",7,1981
4705,telephotograph,NN,3,"0,3,0",(tele){(photo)}{(graph)},"89,65517241",30,102708,"85,71428571",29,54567,"94,7826087",116,198105
4708,telephotographs,NN,3,"0,3,0",(tele){(photo)}{(graph)},"89,65517241",30,102708,"85,71428571",29,54567,"94,7826087",116,198105
6524,SPECTROPHOTOMETER,NN,3,"0,3,0",(spectr){(photo)(meter)},70,11,25414,"35,71428571",29,54567,"59,64912281",58,68090
8483,seamanlike,JJ|RB,3,"0,3,0",{(sea)}(man){(like)},"96,77419355",32,55954,"90,95238095",211,300379,"69,8630137",74,1232275
11361,radioisotopes,NN,3,"0,3,0",(radio){(iso)(tope)},50,33,99653,"36,36363636",12,1619,"66,66666667",4,1278
13704,PHOTOFLOODLIGHTS,NN,3,"0,3,0",{(photo)}{(flood)}{(light)},"85,71428571",29,54567,80,6,15459,"95,45454545",45,176000
14436,PASCATAQUA,JJ|RB,3,"0,3,0",{(pas)}{(cat)}{(aqua)},50,3,10657,100,23,65424,"91,66666667",13,6792
22282,IMMUNOELECTROPHORESIS,NN,3,"0,3,0",(immun){(electro)(phoresis)},0,1,2,"94,11764706",18,5624,100,2,228
23405,HOWSOMEVER,minor,3,"0,3,0",{(how)}{(some)}{(ever)},100,6,1012869,"92,30769231",14,1879495,"90,47619048",22,564255
23762,highwaymen,NN,3,"0,3,0",{(high)}{(way)}(men),"52,17391304",24,339513,"61,29032258",63,727683,"29,29936306",158,125014
24688,GODDAMMIT,NN,3,"0,3,0",{(god)}{(damn)}{(it)},52,26,169472,"57,14285714",8,43108,"66,66666667",7,5468974
28223,electrocardiograms,NN,3,"0,3,0",(electro){(cardio)(gram)},"70,58823529",18,5624,25,5,815,"61,9047619",22,8957
28224,electrocardiographs,NN,3,"0,3,0",(electro){(cardio)(graph)},"82,35294118",18,5624,50,5,815,"80,86956522",116,198105
32876,coastguardsman,NN,3,"0,3,0",{(coast)}{(guard)}(man),"87,5",9,27996,"90,47619048",22,44349,"90,95238095",211,300379
