ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,ROOT3_PFMF,ROOT3_FamSize,ROOT3_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
4173,THERMOGRAVIMETRIC,JJ,4,"0,3,1",{(thermo)}{(gravi)(meter)>ic>},"70,37037037",28,9768,0,1,27,"77,19298246",58,68090,"69,69397828",1014,1472797,2,"2,78E-05","0,006334002781"
4709,telephotography,NN,4,"0,3,1",(tele){(photo)(graph)>y>},"89,65517241",30,102708,"85,71428571",29,54567,"94,7826087",116,198105,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
4714,teletypewriter,NN,4,"0,3,1",(tele){(typo)}{(write)}>er>,"75,86206897",30,102708,"91,42857143",36,282037,100,20,938692,"68,89573251",2274,4569119,2,"3,55E-05","0,02502703538"
4715,teletypewriters,NN,4,"0,3,1",(tele){(typo)}{(write)}>er>,"75,86206897",30,102708,"91,42857143",36,282037,100,20,938692,"68,89573251",2274,4569119,2,"3,55E-05","0,02502703538"
13707,photolithography,NN,4,"0,3,1",(photo){(litho)(graph)>y>},"42,85714286",29,54567,50,5,626,"56,52173913",116,198105,"34,60764588",2486,3870233,1,"4,99E-05","0,02981615943"
14890,paleontologist,NN,4,"0,3,1",{(paleo)(onto)(log)>ist>},0,5,678,50,5,1386,"42,99065421",215,380513,"35,79175705",462,382916,3,"6,27E-05","0,003707708945"
14891,paleontologists,NN,4,"0,3,1",{(paleo)(onto)(log)>ist>},0,5,678,50,5,1386,"42,99065421",215,380513,"35,79175705",462,382916,3,"6,27E-05","0,003707708945"
15096,paranoiacally,JJ,4,"0,3,1",{(para)(noia)}{(cal)}>ly>,"83,87096774",32,98380,100,2,2955,75,5,11599,"76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
23121,holidaymaker,NN,4,"0,3,1",{(holy)(day)}{(make)}>er>,75,9,44389,"88,23529412",35,778343,"82,05128205",40,1073485,"63,44038715",2274,4569119,2,"3,55E-05","0,02502703538"
23122,holidaymakers,NN,4,"0,3,1",{(holy)(day)}{(make)}>er>,75,9,44389,"88,23529412",35,778343,"82,05128205",40,1073485,"63,44038715",2274,4569119,2,"3,55E-05","0,02502703538"
23930,HANDICRAFTSMAN,NN,4,"0,3,1",{(hand)}>y>{(craft)}(man),95,61,232844,"81,08651911",2486,3870233,"4,99E-05","0,02981615943","82,60869565",34488,5,"90,95238095",211,300379,3
41115,upperclassmen,NN,4,"0,3,1",{(up)}>er>{(class)}{(men)},"86,84210526",39,1065085,"59,56885174",2274,4569119,"3,55E-05","0,02502703538","84,61538462",184646,5,"49,04458599",158,125014,3
54097,paleontology,NN,4,"0,3,1",{(paleo)(onto)(log)>y>},25,5,678,75,5,1386,"44,39252336",215,380513,"22,29376258",2486,3870233,1,"4,99E-05","0,02981615943"
54271,parapsychology,NN,4,"0,3,1",(para){(psycho)(log)>y>},"48,38709677",32,98380,"47,22222222",37,47211,"48,59813084",215,380513,"25,39235412",2486,3870233,1,"4,99E-05","0,02981615943"
55575,neuropathology,NN,4,"0,3,1",(neuro){(patho)(log)>y>},"92,30769231",14,12122,"70,83333333",49,81153,"83,64485981",215,380513,"53,07847082",2486,3870233,1,"4,99E-05","0,02981615943"
76175,biotechnology,NN,4,"0,3,1",(bio){(tech)(log)>y>},"20,68965517",30,41459,"42,10526316",20,322084,"16,82242991",215,380513,"9,295774648",2486,3870233,1,"4,99E-05","0,02981615943"
