ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL
21,aligns,VB,2,"1,1,0",{<a<(line)},"16,88311688",309,1336429,1,"1,72E-05","0,003553221072","15,87301587",64,426769
160,amassed,VB,2,"1,1,0",{<a<(mass)},"35,06493506",309,1336429,1,"1,72E-05","0,003553221072",50,7,56366
161,amasses,VB,2,"1,1,0",{<a<(mass)},"35,06493506",309,1336429,1,"1,72E-05","0,003553221072",50,7,56366
187,ameliorated,VB,2,"1,1,0",{<a<(meliorate)},"47,4025974",309,1336429,1,"1,72E-05","0,003553221072",0,4,322
188,ameliorates,VB,2,"1,1,0",{<a<(meliorate)},"47,4025974",309,1336429,1,"1,72E-05","0,003553221072",0,4,322
189,ameliorating,VB|NN|JJ,2,"1,1,0",{<a<(meliorate)},"47,4025974",309,1336429,1,"1,72E-05","0,003553221072",0,4,322
276,anagrams,NN,2,"1,1,0",{<ana<(gram)},0,5,1769,3,0,0,"4,761904762",22,8957
374,abased,VB,2,"1,1,0",{<a<(base)},"71,42857143",309,1336429,1,"1,72E-05","0,003553221072","78,94736842",20,341952
375,abases,VB,2,"1,1,0",{<a<(base)},"71,42857143",309,1336429,1,"1,72E-05","0,003553221072","78,94736842",20,341952
379,abasing,VB|NN,2,"1,1,0",{<a<(base)},"71,42857143",309,1336429,1,"1,72E-05","0,003553221072","78,94736842",20,341952
1234,WOBURN,NN,2,"1,1,0",{<wo<(burn)},0,1,445,2,0,0,"45,45454545",12,43386
2238,untruths,NN,2,"1,1,0",<un<{(truth)},"26,85069009",798,538545,2,"7,24E-05","0,006025027035",50,7,57810
2239,untutored,JJ,2,"1,1,0",<un<{(tutor)},"50,69008783",798,538545,2,"7,24E-05","0,006025027035",100,3,16784
2240,unveiling,VB|NN,2,"1,1,0",<un<{(veil)},"11,54328733",798,538545,2,"7,24E-05","0,006025027035",100,2,4031
2241,unveils,VB,2,"1,1,0",<un<{(veil)},"11,54328733",798,538545,2,"7,24E-05","0,006025027035",100,2,4031
2243,unwinds,VB,2,"1,1,0",<un<{(wind)},"23,71392723",798,538545,2,"7,24E-05","0,006025027035","17,64705882",35,40204
2244,unzipped,JJ|VB,2,"1,1,0",<un<{(zip)},"2,383939774",798,538545,2,"7,24E-05","0,006025027035",20,6,25466
2245,unzipping,JJ|VB|NN,2,"1,1,0",<un<{(zip)},"2,383939774",798,538545,2,"7,24E-05","0,006025027035",20,6,25466
2246,unzips,VB,2,"1,1,0",<un<{(zip)},"2,383939774",798,538545,2,"7,24E-05","0,006025027035",20,6,25466
2248,upbraid,VB|NN,2,"1,1,0",<up<{(braid)},"83,67346939",50,208046,2,"4,81E-06","0,0001544878727",100,2,1252
