ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
51,alliterated,VB|JJ,3,"1,1,1",{<a<(litera)>ate>},"77,92207792",309,1336429,1,"1,72E-05","0,003553221072","71,42857143",22,48192,"79,16666667",937,2569118,3,"2,65E-05","0,01050517534"
52,alliterates,VB,3,"1,1,1",{<a<(litera)>ate>},"77,92207792",309,1336429,1,"1,72E-05","0,003553221072","71,42857143",22,48192,"79,16666667",937,2569118,3,"2,65E-05","0,01050517534"
53,alliterating,VB|NN|JJ,3,"1,1,1",{<a<(litera)>ate>},"77,92207792",309,1336429,1,"1,72E-05","0,003553221072","71,42857143",22,48192,"79,16666667",937,2569118,3,"2,65E-05","0,01050517534"
55,allocates,VB,3,"1,1,1",{<a<{(loc)>ate>}},"3,571428571",309,1336429,1,"1,72E-05","0,003553221072","16,66666667",25,398354,"2,777777778",937,2569118,3,"2,65E-05","0,01050517534"
56,allocating,VB,3,"1,1,1",{<a<{(loc)>ate>}},"3,571428571",309,1336429,1,"1,72E-05","0,003553221072","16,66666667",25,398354,"2,777777778",937,2569118,3,"2,65E-05","0,01050517534"
190,amelioration,NN,3,"1,1,1",{<a<(meliorate)}>ion>,"73,37662338",309,1336429,1,"1,72E-05","0,003553221072","33,33333333",4,322,"77,90988736",1599,6530204,3,"9,03E-06","0,009114784489"
233,amortized,VB,3,"1,1,1",{<a<(mort)>ize>},"52,5974026",309,1336429,1,"1,72E-05","0,003553221072","38,46153846",14,19797,"37,76223776",430,443161,3,"0,0001489300728","0,0101961996"
234,amortizes,VB,3,"1,1,1",{<a<(mort)>ize>},"52,5974026",309,1336429,1,"1,72E-05","0,003553221072","38,46153846",14,19797,"37,76223776",430,443161,3,"0,0001489300728","0,0101961996"
235,amortizing,VB|NN,3,"1,1,1",{<a<(mort)>ize>},"52,5974026",309,1336429,1,"1,72E-05","0,003553221072","38,46153846",14,19797,"37,76223776",430,443161,3,"0,0001489300728","0,0101961996"
262,ANABAPTISTS,NN,3,"1,1,1",<ana<{(bapt)>ist>},75,5,1769,3,0,0,80,6,5057,"80,26030369",462,382916,3,"6,27E-05","0,003707708945"
264,ANABAPTIST,NN,3,"1,1,1",<ana<{(bapt)>ist>},75,5,1769,3,0,0,80,6,5057,"80,26030369",462,382916,3,"6,27E-05","0,003707708945"
265,anachronistic,JJ,3,"1,1,1",{<ana<(chrono)>ic>},50,5,1769,3,0,0,"55,55555556",19,20700,"40,76999013",1014,1472797,2,"2,78E-05","0,006334002781"
301,anarchists,NN,3,"1,1,1",{<a<(arch)}>ist>,"19,15584416",309,1336429,1,"1,72E-05","0,003553221072","7,5",41,38937,"6,073752711",462,382916,3,"6,27E-05","0,003707708945"
2258,upheavals,NN,3,"1,1,1",<up<{(heave)}>al>,"32,65306122",50,208046,2,"4,81E-06","0,0001544878727",100,2,1961,"32,30769231",1431,4704731,2,"9,14E-06","0,006642978526"
2259,upholder,NN,3,"1,1,1",<up<{(hold)}>er>,"81,63265306",50,208046,2,"4,81E-06","0,0001544878727","68,96551724",30,140327,"56,40123185",2274,4569119,2,"3,55E-05","0,02502703538"
2260,upholsterers,NN,3,"1,1,1",<up<{(holster)}>er>,"97,95918367",50,208046,2,"4,81E-06","0,0001544878727",100,6,1021,"76,46282446",2274,4569119,2,"3,55E-05","0,02502703538"
2261,upholsterer,NN,3,"1,1,1",{<up<(holster)}>er>,"89,79591837",50,208046,2,"4,81E-06","0,0001544878727",60,6,1021,"67,31192257",2274,4569119,2,"3,55E-05","0,02502703538"
2274,uprightly,RB,3,"1,1,1",<up<{(right)}>ly>,"93,87755102",50,208046,2,"4,81E-06","0,0001544878727","95,45454545",23,556722,"65,44701415",2898,3857999,2,"4,48E-05","0,02672640198"
2275,uprightness,NN,3,"1,1,1",<up<{(right)}>ness>,"79,59183673",50,208046,2,"4,81E-06","0,0001544878727","77,27272727",23,556722,"24,95974235",1243,181553,4,"0,0005838515475","0,01637571451"
2457,uncannier,JJ,3,"1,1,1",<un<{(canny)}>er>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","71,42857143",8,4296,"87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
2458,uncanniest,JJ,3,"1,1,1",<un<{(canny)}>est>,"89,96235885",798,538545,2,"7,24E-05","0,006025027035","57,14285714",8,4296,"59,46704067",714,287086,3,"0,0002612457591","0,01158659045"
