ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
171,ambidextrously,RB,4,"1,1,2",<ambi<{(dexter)>ious>}>ly>,100,5,646,4,0,0,"83,33333333",7,1726,"71,1038961",617,450833,4,"7,10E-05","0,004943611926","67,06938212",2898,3857999,2,"4,48E-05","0,02672640198"
176,ambivalently,RB,4,"1,1,2",{<ambi<(val)>ant>}>ly>,75,5,646,4,0,0,65,21,41544,"84,8812095",464,1534593,3,"7,82E-06","0,001853854472","62,37487056",2898,3857999,2,"4,48E-05","0,02672640198"
231,amorphousness,NN,4,"1,1,2",{<a<(morph)>ious>}>ness>,"92,20779221",309,1336429,1,"1,72E-05","0,003553221072","86,66666667",16,4842,"76,78571429",617,450833,4,"7,10E-05","0,004943611926","62,56038647",1243,181553,4,"0,0005838515475","0,01637571451"
232,amortizations,NN,4,"1,1,2",{<a<(mort)>ize>}>ion>,"57,79220779",309,1336429,1,"1,72E-05","0,003553221072","76,92307692",14,19797,"44,05594406",430,443161,3,"0,0001489300728","0,0101961996","62,70337922",1599,6530204,3,"9,03E-06","0,009114784489"
299,anarchistic,JJ,4,"1,1,2",{<a<(arch)}>ist>>ic>,"64,28571429",309,1336429,1,"1,72E-05","0,003553221072",55,41,38937,"56,8329718",462,382916,3,"6,27E-05","0,003707708945","52,71470879",1014,1472797,2,"2,78E-05","0,006334002781"
2242,unwieldiness,NN,4,"1,1,2",<un<{(wield)}>y>>ness>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035",100,4,2502,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
2461,unceremoniously,RB,4,"1,1,2",<un<{(ceremony)}>ious>>ly>,"32,62233375",798,538545,2,"7,24E-05","0,006025027035",25,9,8164,"22,56493506",617,450833,4,"7,10E-05","0,004943611926","24,16292717",2898,3857999,2,"4,48E-05","0,02672640198"
2462,unceremoniousness,NN,4,"1,1,2",<un<{(ceremony)}>ious>>ness>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","87,5",9,8164,"87,98701299",617,450833,4,"7,10E-05","0,004943611926","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
2465,uncharitably,RB,4,"1,1,2",<un<{(charit)>able>}>y>,"83,31242158",798,538545,2,"7,24E-05","0,006025027035",100,5,9800,"80,48220436",872,1227992,4,"3,18E-05","0,006025027035","61,85110664",2486,3870233,1,"4,99E-05","0,02981615943"
2472,unconditionally,RB,4,"1,1,2",<un<{(condition)}>al>>ly>,"19,19698871",798,538545,2,"7,24E-05","0,006025027035",50,9,116636,"35,52447552",1431,4704731,2,"9,14E-06","0,006642978526","16,25819814",2898,3857999,2,"4,48E-05","0,02672640198"
2582,undervaluations,NN,4,"1,1,2",<under<{(value)}>ate>>ion>,"91,20879121",92,78888,5,"5,07E-05","0,0006179514908",100,17,171463,"89,1025641",937,2569118,3,"2,65E-05","0,01050517534","91,42678348",1599,6530204,3,"9,03E-06","0,009114784489"
2587,undesirability,NN,4,"1,1,2",<un<{(desire)}>able>>ity>,"65,2446675",798,538545,2,"7,24E-05","0,006025027035","71,42857143",8,61873,"63,14580941",872,1227992,4,"3,18E-05","0,006025027035","72,19343696",580,1647588,3,"1,76E-05","0,004480148308"
2589,undesirably,RB,4,"1,1,2",<un<{(desire)}>able>>y>,"88,33124216",798,538545,2,"7,24E-05","0,006025027035",100,8,61873,"86,68197474",872,1227992,4,"3,18E-05","0,006025027035","69,49698189",2486,3870233,1,"4,99E-05","0,02981615943"
2603,unearthliness,NN,4,"1,1,2",<un<{(earth)}>ly>>ness>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","94,73684211",20,77215,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
2606,uneasier,JJ,4,"1,1,2",<un<{(ease)}>y>>er>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","92,85714286",15,213336,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
2607,uneasiest,JJ,4,"1,1,2",<un<{(ease)}>y>>est>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","92,85714286",15,213336,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
2613,unequally,RB,4,"1,1,2",<un<{(equi)>al>}>ly>,"39,39774153",798,538545,2,"7,24E-05","0,006025027035","46,93877551",50,127793,"52,37762238",1431,4704731,2,"9,14E-06","0,006642978526","27,85640318",2898,3857999,2,"4,48E-05","0,02672640198"
2614,unequalness,NN,4,"1,1,2",<un<{(equi)>al>}>ness>,"88,33124216",798,538545,2,"7,24E-05","0,006025027035","93,87755102",50,127793,"91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","67,79388084",1243,181553,4,"0,0005838515475","0,01637571451"
2618,uneventfully,RB,4,"1,1,2",<un<{(event)}>ful>>ly>,"64,61731493",798,538545,2,"7,24E-05","0,006025027035","66,66666667",10,117183,"57,30994152",343,429561,3,"5,82E-05","0,003862196818","48,2568174",2898,3857999,2,"4,48E-05","0,02672640198"
2623,unfathomably,RB,4,"1,1,2",<un<{(fathom)}>able>>y>,"78,293601",798,538545,2,"7,24E-05","0,006025027035",60,6,1154,"77,03788749",872,1227992,4,"3,18E-05","0,006025027035","56,9416499",2486,3870233,1,"4,99E-05","0,02981615943"
2626,unfaithfully,RB,4,"1,1,2",<un<{(faith)}>ful>>ly>,"69,76160602",798,538545,2,"7,24E-05","0,006025027035",90,11,35906,"64,32748538",343,429561,3,"5,82E-05","0,003862196818","52,84777356",2898,3857999,2,"4,48E-05","0,02672640198"
2627,unfaithfulness,NN,4,"1,1,2",<un<{(faith)}>ful>>ness>,"67,62860728",798,538545,2,"7,24E-05","0,006025027035",80,11,35906,"61,11111111",343,429561,3,"5,82E-05","0,003862196818","30,5958132",1243,181553,4,"0,0005838515475","0,01637571451"
2630,unfavourably,RB,4,"1,1,2",<un<{(favour)}>able>>y>,"75,53324969",798,538545,2,"7,24E-05","0,006025027035","85,71428571",8,12635,"74,51205511",872,1227992,4,"3,18E-05","0,006025027035","55,01006036",2486,3870233,1,"4,99E-05","0,02981615943"
2639,unforgettably,RB,4,"1,1,2",<un<{(forget)}>able>>y>,"78,293601",798,538545,2,"7,24E-05","0,006025027035","83,33333333",7,49053,"77,03788749",872,1227992,4,"3,18E-05","0,006025027035","56,9416499",2486,3870233,1,"4,99E-05","0,02981615943"
2646,ungainliness,NN,4,"1,1,2",<un<{(gain)>ly>}>ness>,"89,96235885",798,538545,2,"7,24E-05","0,006025027035",100,8,46870,"80,98032447",2898,3857999,2,"4,48E-05","0,02672640198","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
2649,ungraciously,RB,4,"1,1,2",<un<{(grace)}>ious>>ly>,"74,7804266",798,538545,2,"7,24E-05","0,006025027035","92,30769231",14,18521,"62,5",617,450833,4,"7,10E-05","0,004943611926","59,06109769",2898,3857999,2,"4,48E-05","0,02672640198"
2650,ungratefully,RB,4,"1,1,2",<un<{(grat)>ful>}>ly>,"88,33124216",798,538545,2,"7,24E-05","0,006025027035",100,19,19904,"85,67251462",343,429561,3,"5,82E-05","0,003862196818","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
2651,ungratefulness,NN,4,"1,1,2",<un<{(grat)>ful>}>ness>,"73,27478043",798,538545,2,"7,24E-05","0,006025027035","66,66666667",19,19904,"68,12865497",343,429561,3,"5,82E-05","0,003862196818","39,93558776",1243,181553,4,"0,0005838515475","0,01637571451"
2659,unhealthier,JJ,4,"1,1,2",<un<{(health)}>y>>er>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035",100,12,77200,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
2660,unhealthiest,JJ,4,"1,1,2",<un<{(health)}>y>>est>,"84,3161857",798,538545,2,"7,24E-05","0,006025027035","90,90909091",12,77200,"63,54124748",2486,3870233,1,"4,99E-05","0,02981615943","45,86255259",714,287086,3,"0,0002612457591","0,01158659045"
2661,unhealthily,RB,4,"1,1,2",<un<{(health)}>y>>ly>,"78,293601",798,538545,2,"7,24E-05","0,006025027035","72,72727273",12,77200,"56,9416499",2486,3870233,1,"4,99E-05","0,02981615943","62,37487056",2898,3857999,2,"4,48E-05","0,02672640198"
2662,unhealthiness,NN,4,"1,1,2",<un<{(health)}>y>>ness>,"81,80677541",798,538545,2,"7,24E-05","0,006025027035","81,81818182",12,77200,"60,44265594",2486,3870233,1,"4,99E-05","0,02981615943","53,54267311",1243,181553,4,"0,0005838515475","0,01637571451"
2691,unlawfully,RB,4,"1,1,2",<un<{(law)}>ful>>ly>,"38,01756587",798,538545,2,"7,24E-05","0,006025027035","64,70588235",18,216374,"33,62573099",343,429561,3,"5,82E-05","0,003862196818","27,33862616",2898,3857999,2,"4,48E-05","0,02672640198"
2698,unlikelier,JJ|RB,4,"1,1,2",<un<{(like)}>ly>>er>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","69,8630137",74,1232275,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
2699,unlikeliest,JJ,4,"1,1,2",<un<{(like)}>ly>>est>,"84,3161857",798,538545,2,"7,24E-05","0,006025027035","50,68493151",74,1232275,"70,93545047",2898,3857999,2,"4,48E-05","0,02672640198","45,86255259",714,287086,3,"0,0002612457591","0,01158659045"
2700,unlikelihood,NN,4,"1,1,2",<un<{(like)}>ly>>hood>,"67,62860728",798,538545,2,"7,24E-05","0,006025027035","34,24657534",74,1232275,"50,60407318",2898,3857999,2,"4,48E-05","0,02672640198","87,5",25,27256,4,0,0
2701,unlikeliness,NN,4,"1,1,2",<un<{(like)}>ly>>ness>,"71,14178168",798,538545,2,"7,24E-05","0,006025027035","36,98630137",74,1232275,"54,74628926",2898,3857999,2,"4,48E-05","0,02672640198","35,99033816",1243,181553,4,"0,0005838515475","0,01637571451"
2735,UNPHYSICAL,JJ,4,"1,1,2",<un<{(phys)>ic>>al>},"69,00878294",798,538545,2,"7,24E-05","0,006025027035","89,28571429",29,107401,"71,66831194",1014,1472797,2,"2,78E-05","0,006334002781","77,62237762",1431,4704731,2,"9,14E-06","0,006642978526"
2741,unpleasantnesses,NN,4,"1,1,2",<un<{(please)>ant>}>ness>,"33,50062735",798,538545,2,"7,24E-05","0,006025027035",50,17,627103,"50,75593952",464,1534593,3,"7,82E-06","0,001853854472","8,776167472",1243,181553,4,"0,0005838515475","0,01637571451"
2745,unpretentiously,RB,4,"1,1,2",<un<{(pretend)>ious>}>ly>,"78,293601",798,538545,2,"7,24E-05","0,006025027035","87,5",9,14439,"66,3961039",617,450833,4,"7,10E-05","0,004943611926","62,37487056",2898,3857999,2,"4,48E-05","0,02672640198"
2746,unpretentiousness,NN,4,"1,1,2",<un<{(pretend)>ious>}>ness>,"85,94730238",798,538545,2,"7,24E-05","0,006025027035",100,9,14439,"76,78571429",617,450833,4,"7,10E-05","0,004943611926","62,56038647",1243,181553,4,"0,0005838515475","0,01637571451"
2757,unreadably,RB,4,"1,1,2",<un<{(read)}>able>>y>,"85,94730238",798,538545,2,"7,24E-05","0,006025027035",100,13,493554,"84,27095293",872,1227992,4,"3,18E-05","0,006025027035","66,0362173",2486,3870233,1,"4,99E-05","0,02981615943"
2758,unreasonableness,NN,4,"1,1,2",<un<{(reason)}>able>>ness>,"73,27478043",798,538545,2,"7,24E-05","0,006025027035","88,88888889",10,246334,"72,21584386",872,1227992,4,"3,18E-05","0,006025027035","39,93558776",1243,181553,4,"0,0005838515475","0,01637571451"
2770,unrulier,JJ,4,"1,1,2",<un<{(rule)}>y>>er>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","85,71428571",8,149114,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
2771,unruliest,JJ,4,"1,1,2",<un<{(rule)}>y>>est>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","85,71428571",8,149114,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
2782,unscrupulously,RB,4,"1,1,2",<un<{(scruple)>ious>}>ly>,"55,33249686",798,538545,2,"7,24E-05","0,006025027035","57,14285714",8,1415,"42,53246753",617,450833,4,"7,10E-05","0,004943611926","40,17949603",2898,3857999,2,"4,48E-05","0,02672640198"
2783,unscrupulousness,NN,4,"1,1,2",<un<{(scruple)>ious>}>ness>,"83,31242158",798,538545,2,"7,24E-05","0,006025027035","71,42857143",8,1415,"72,88961039",617,450833,4,"7,10E-05","0,004943611926","55,87761675",1243,181553,4,"0,0005838515475","0,01637571451"
2801,unsightliness,NN,4,"1,1,2",<un<{(sight)}>ly>>ness>,"85,94730238",798,538545,2,"7,24E-05","0,006025027035",80,21,37472,"73,86952019",2898,3857999,2,"4,48E-05","0,02672640198","62,56038647",1243,181553,4,"0,0005838515475","0,01637571451"
2805,unspeakably,RB,4,"1,1,2",<un<{(speak)}>able>>y>,"49,30991217",798,538545,2,"7,24E-05","0,006025027035","62,5",9,126284,"47,99081515",872,1227992,4,"3,18E-05","0,006025027035","32,99798793",2486,3870233,1,"4,99E-05","0,02981615943"
2824,untimeliness,NN,4,"1,1,2",<un<{(time)}>ly>>ness>,"76,41154329",798,538545,2,"7,24E-05","0,006025027035","86,66666667",46,1099121,"61,13220573",2898,3857999,2,"4,48E-05","0,02672640198","45,81320451",1243,181553,4,"0,0005838515475","0,01637571451"
2831,untruthfully,RB,4,"1,1,2",<un<{(truth)}>ful>>ly>,"84,3161857",798,538545,2,"7,24E-05","0,006025027035",100,7,57810,"81,28654971",343,429561,3,"5,82E-05","0,003862196818","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
3316,transistorize,VB,4,"1,1,2",{<trans<(sist)>or>}>ize>,"78,94736842",58,115882,5,"5,18E-05","0,0009269272362","81,81818182",34,143621,"79,86111111",289,937614,2,"9,60E-06","0,001390390854","70,16317016",430,443161,3,"0,0001489300728","0,0101961996"
3317,transistorized,VB|JJ,4,"1,1,2",{<trans<(sist)>or>}>ize>,"78,94736842",58,115882,5,"5,18E-05","0,0009269272362","81,81818182",34,143621,"79,86111111",289,937614,2,"9,60E-06","0,001390390854","70,16317016",430,443161,3,"0,0001489300728","0,0101961996"
3318,transistorizes,VB,4,"1,1,2",{<trans<(sist)>or>}>ize>,"78,94736842",58,115882,5,"5,18E-05","0,0009269272362","81,81818182",34,143621,"79,86111111",289,937614,2,"9,60E-06","0,001390390854","70,16317016",430,443161,3,"0,0001489300728","0,0101961996"
3319,transistorizing,VB,4,"1,1,2",{<trans<(sist)>or>}>ize>,"78,94736842",58,115882,5,"5,18E-05","0,0009269272362","81,81818182",34,143621,"79,86111111",289,937614,2,"9,60E-06","0,001390390854","70,16317016",430,443161,3,"0,0001489300728","0,0101961996"
3329,transliteration,NN,4,"1,1,2",{<trans<(litera)>ate>}>ion>,"45,61403509",58,115882,5,"5,18E-05","0,0009269272362","38,0952381",22,48192,"41,66666667",937,2569118,3,"2,65E-05","0,01050517534","44,4931164",1599,6530204,3,"9,03E-06","0,009114784489"
3330,transliterations,NN,4,"1,1,2",{<trans<(litera)>ate>}>ion>,"45,61403509",58,115882,5,"5,18E-05","0,0009269272362","38,0952381",22,48192,"41,66666667",937,2569118,3,"2,65E-05","0,01050517534","44,4931164",1599,6530204,3,"9,03E-06","0,009114784489"
3351,transparencies,NN,4,"1,1,2",{<trans<(par)>ance>}>y>,"24,56140351",58,115882,5,"5,18E-05","0,0009269272362",25,21,34876,"19,56521739",323,977837,4,"7,16E-06","0,001081415109","8,329979879",2486,3870233,1,"4,99E-05","0,02981615943"
3352,transparently,RB,4,"1,1,2",{<trans<(par)>ant>}>ly>,"35,0877193",58,115882,5,"5,18E-05","0,0009269272362",40,21,34876,"31,74946004",464,1534593,3,"7,82E-06","0,001853854472","14,56679323",2898,3857999,2,"4,48E-05","0,02672640198"
3371,TRANSVERSALLY,RB,4,"1,1,2",{<trans<(verse)}>al>>ly>,"96,49122807",58,115882,5,"5,18E-05","0,0009269272362","96,42857143",29,375470,"91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
4837,susceptibilities,NN,4,"1,1,2",{<sus<(cept)>able>}>ity>,"66,66666667",7,17368,3,0,0,"57,44680851",48,216413,"26,9804822",872,1227992,4,"3,18E-05","0,006025027035","41,10535406",580,1647588,3,"1,76E-05","0,004480148308"
5045,sympathizer,NN,4,"1,1,2",{<sym<(patho)>ize>}>er>,"36,36363636",12,14606,3,0,0,"31,25",49,81153,"25,87412587",430,443161,3,"0,0001489300728","0,0101961996","24,98900132",2274,4569119,2,"3,55E-05","0,02502703538"
5046,sympathizers,NN,4,"1,1,2",{<sym<(patho)>ize>}>er>,"36,36363636",12,14606,3,0,0,"31,25",49,81153,"25,87412587",430,443161,3,"0,0001489300728","0,0101961996","24,98900132",2274,4569119,2,"3,55E-05","0,02502703538"
5048,sympathizingly,JJ,4,"1,1,2",{<sym<(patho)>ize>}>ly>,"90,90909091",12,14606,3,0,0,"87,5",49,81153,"95,33799534",430,443161,3,"0,0001489300728","0,0101961996","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
5058,synchronizations,NN,4,"1,1,2",{<syn<(chrono)>ize>}>ion>,"34,7826087",24,33723,3,0,0,"27,77777778",19,20700,"13,98601399",430,443161,3,"0,0001489300728","0,0101961996","31,91489362",1599,6530204,3,"9,03E-06","0,009114784489"
5079,synonymously,RB,4,"1,1,2",{<syn<(nym)}>ious>>ly>,"82,60869565",24,33723,3,0,0,"84,61538462",14,72688,"48,86363636",617,450833,4,"7,10E-05","0,004943611926","46,18570935",2898,3857999,2,"4,48E-05","0,02672640198"
5086,synthesizers,NN,4,"1,1,2",{<syn<(thes)>ize>}>er>,"21,73913043",24,33723,3,0,0,50,11,29982,"9,557109557",430,443161,3,"0,0001489300728","0,0101961996","12,93444787",2274,4569119,2,"3,55E-05","0,02502703538"
5227,subjugations,NN,4,"1,1,2",{<sub<(jug)>ate>}>ion>,"48,57142857",106,323358,3,"1,86E-05","0,0009269272362","42,85714286",8,2773,"54,05982906",937,2569118,3,"2,65E-05","0,01050517534","56,13266583",1599,6530204,3,"9,03E-06","0,009114784489"
5260,subordinately,RB,4,"1,1,2",{<sub<(ordin)>ate>}>ly>,"93,33333333",106,323358,3,"1,86E-05","0,0009269272362","85,71428571",22,45460,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
5262,subordinations,NN,4,"1,1,2",{<sub<(ordin)>ate>}>ion>,"44,76190476",106,323358,3,"1,86E-05","0,0009269272362","52,38095238",22,45460,"51,4957265",937,2569118,3,"2,65E-05","0,01050517534","53,06633292",1599,6530204,3,"9,03E-06","0,009114784489"
5263,subordinative,JJ,4,"1,1,2",{<sub<(ordin)>ate>}>ive>,"93,33333333",106,323358,3,"1,86E-05","0,0009269272362","85,71428571",22,45460,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","94,99136442",580,1037354,3,"1,74E-05","0,002780781709"
5264,SUBORDINATOR,NN,4,"1,1,2",{<sub<(ordin)>ate>}>or>,"93,33333333",106,323358,3,"1,86E-05","0,0009269272362","85,71428571",22,45460,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","95,48611111",289,937614,2,"9,60E-06","0,001390390854"
5298,SUBSTERILIZATION,NN,4,"1,1,2",<sub<{(sterile)}>ize>>ion>,"93,33333333",106,323358,3,"1,86E-05","0,0009269272362","66,66666667",7,3331,"95,33799534",430,443161,3,"0,0001489300728","0,0101961996","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489"
5315,subversively,RB,4,"1,1,2",{<sub<(vert)}>ive>>ly>,"79,04761905",106,323358,3,"1,86E-05","0,0009269272362",68,26,60266,"78,75647668",580,1037354,3,"1,74E-05","0,002780781709","56,64480497",2898,3857999,2,"4,48E-05","0,02672640198"
