ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*
54,alliteratively,RB,5,"1,1,3",{<a<(litera)>ate>}>ive>>ly>,"93,83116883",309,1336429,1,"1,72E-05","0,003553221072","85,71428571",22,48192,"94,65811966",937,2569118,3,"2,65E-05","0,01050517534","92,74611399",580,1037354,3,"1,74E-05","0,002780781709","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
298,anarchically,RB,5,"1,1,3",{<a<(arch)}>ic>>al>>ly>,"96,42857143",309,1336429,1,"1,72E-05","0,003553221072","92,5",41,38937,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
300,anarchistically,NN|VB,5,"1,1,3",{<a<(arch)}>ist>>ic>>ally>,"96,42857143",309,1336429,1,"1,72E-05","0,003553221072","92,5",41,38937,"95,66160521",462,382916,3,"6,27E-05","0,003707708945","94,37314906",1014,1472797,2,"2,78E-05","0,006334002781",60,6,10,4,"0,1","0,0001544878727"
2608,uneconomically,RB,5,"1,1,3",<un<{(econom)>ic>}>al>>ly>,"84,3161857",798,538545,2,"7,24E-05","0,006025027035",100,11,84011,"84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
2747,unprofessionally,RB,5,"1,1,3",<un<{(profess)>ion>}>al>>ly>,"62,86072773",798,538545,2,"7,24E-05","0,006025027035","81,81818182",12,104442,"79,47434293",1599,6530204,3,"9,03E-06","0,009114784489","73,63636364",1431,4704731,2,"9,14E-06","0,006642978526","46,39282016",2898,3857999,2,"4,48E-05","0,02672640198"
11164,refrigerations,NN,5,"1,1,3",{<re<(frig)>er>>ate>}>ion>,"43,37349398",499,2175658,2,"1,38E-05","0,004634636181",25,9,4212,"25,25296964",2274,4569119,2,"3,55E-05","0,02502703538","40,70512821",937,2569118,3,"2,65E-05","0,01050517534","43,74217772",1599,6530204,3,"9,03E-06","0,009114784489"
12068,prognostications,NN,5,"1,1,3",{<pro<(gnose)>ic>}>ate>>ion>,"68,6440678",119,1206582,3,"2,49E-06","0,0004634636181",50,13,15586,"55,28134255",1014,1472797,2,"2,78E-05","0,006334002781","67,73504274",937,2569118,3,"2,65E-05","0,01050517534","69,02377972",1599,6530204,3,"9,03E-06","0,009114784489"
12069,prognosticators,NN,5,"1,1,3",{<pro<(gnose)>ic>}>ate>>or>,"78,81355932",119,1206582,3,"2,49E-06","0,0004634636181",75,13,15586,"68,90424482",1014,1472797,2,"2,78E-05","0,006334002781","78,52564103",937,2569118,3,"2,65E-05","0,01050517534","79,16666667",289,937614,2,"9,60E-06","0,001390390854"
12291,providentially,RB,5,"1,1,3",{<pro<(vide)>ance>}>al>>ly>,"83,89830508",119,1206582,3,"2,49E-06","0,0004634636181","76,92307692",14,282157,"83,85093168",323,977837,4,"7,16E-06","0,001081415109","82,93706294",1431,4704731,2,"9,14E-06","0,006642978526","59,06109769",2898,3857999,2,"4,48E-05","0,02672640198"
12298,provisionally,RB,5,"1,1,3",{<pro<(vide)}>ion>>al>>ly>,"64,40677966",119,1206582,3,"2,49E-06","0,0004634636181","53,84615385",14,282157,"61,2640801",1599,6530204,3,"9,03E-06","0,009114784489","55,03496503",1431,4704731,2,"9,14E-06","0,006642978526","29,51328961",2898,3857999,2,"4,48E-05","0,02672640198"
