ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL
3487,TRICHLOROACETIC,JJ,3,"1,2,0",{<tri<(chlor)(acetic)},90,21,14176,3,"0,0002116252822","0,0004634636181","88,88888889",10,3878,100,2,237
3535,trinitrotoluene,NN,3,"1,2,0",{<tri<(nitro)(toluene)},85,21,14176,3,"0,0002116252822","0,0004634636181",100,6,4777,0,1,3
12020,procuresses,NN,3,"1,2,0",<pro<{(cur)}{(esse)},"94,06779661",119,1206582,3,"2,49E-06","0,0004634636181",100,2,2025,100,2,521
17586,MILLIVOLTMETER,NN|VB,3,"1,2,0",<milli<{(volt)}{(meter)},100,8,1076,5,0,0,100,4,18109,"96,49122807",58,68090
17801,mishitting,NN|VB,3,"1,2,0",<mis<{(hit)}{(ting)},"95,45454545",111,103160,3,"0,0001260178364","0,002008342345",100,5,91088,100,2,807
21524,INTERFEROMETER,NN,3,"1,2,0",{<inter<(fere)}(meter),"56,63716814",114,343106,5,"8,74E-06","0,0004634636181","66,66666667",4,12268,"49,12280702",58,68090
23184,HOMOPOLYMERS,NN,3,"1,2,0",{(homo)}{<poly<(mer)},100,13,147806,4,"88,57142857",36,14921,4,"0,0002010589103",100,6,2253
23851,halfpennyworth,NN,3,"1,2,0",<half<{(penny)}{(worth)},"85,71428571",8,4251,4,"0,0002352387673","0,0001544878727","85,71428571",8,6804,"93,10344828",30,103812
27557,exciseman,NN,3,"1,2,0",{<ex<(cise)}{(man)},"90,07092199",142,581016,2,"1,89E-05","0,0016993666","90,90909091",12,8117,"89,52380952",211,300379
27558,excisemen,NN,3,"1,2,0",{<ex<(cise)}{(men)},"94,32624113",142,581016,2,"1,89E-05","0,0016993666",100,12,8117,"87,2611465",158,125014
38089,ANTINOMIANS,NN,3,"1,2,0",<anti<{(nomin)}{(ian)},"64,86486486",38,9922,4,"0,0001007861318","0,0001544878727","80,55555556",37,34420,50,7,122
38806,woebegone,JJ,3,"1,2,0",{(woe)}{<be<(gone)},100,4,2198,3,"63,0952381",85,59452,2,"0,000386866716","85,71428571",8,53168
40831,unorthodox,JJ,3,"1,2,0",<un<{(ortho)(dox)},"22,5846926",798,538545,2,"7,24E-05","0,006025027035","21,42857143",15,8401,50,5,7409
41134,underclassman,NN,3,"1,2,0",<under<{(class)}(man),"87,91208791",92,78888,5,"5,07E-05","0,0006179514908","88,46153846",27,184646,"75,23809524",211,300379
44275,subparagraph,NN,3,"1,2,0",<sub<{(para)(graph)},"17,14285714",106,323358,3,"1,86E-05","0,0009269272362","25,80645161",32,98380,"15,65217391",116,198105
44572,superhighways,NN,3,"1,2,0",<super<{(high)}{(way)},"44,64285714",57,39141,5,"0,0001277432871","0,0007724393635","47,82608696",24,339513,"59,67741935",63,727683
47427,selfeffacing,JJ,3,"1,2,0",{(self)}{<e<(face)},"95,45454545",23,458870,4,"95,78947368",96,397964,1,"1,76E-05","89,28571429",29,179045
49266,repairmen,NN,3,"1,2,0",{<re<(pair)}{(men)},"70,48192771",499,2175658,2,"1,38E-05","0,004634636181","83,33333333",13,56847,"28,66242038",158,125014
55791,nonchurchgoing,JJ|VB|NN,3,"1,2,0",<non<{(church)}{(go)},"77,46478873",72,16866,3,"0,0002964544053","0,0007724393635",100,7,56630,"85,71428571",22,822596
57327,midshipman,NN,3,"1,2,0",<mid<{(ship)}(man),"61,11111111",19,22480,3,0,0,"44,11764706",35,184087,"47,14285714",211,300379
57328,midshipmen,NN,3,"1,2,0",<mid<{(ship)}(men),"77,77777778",19,22480,3,0,0,"52,94117647",35,184087,"36,30573248",158,125014
61455,inasmuch,RB,3,"1,2,0",<im<{(as)}{(much)},"21,46118721",658,610746,2,"4,26E-05","0,00401668469",100,3,2656655,"33,33333333",4,484508
65424,foreknowledge,NN,3,"1,2,0",<fore<{(know)(ledge)},"54,83870968",63,53054,4,"0,000113092321","0,0009269272362","63,15789474",20,1110615,75,9,109567
66448,expressway,NN,3,"1,2,0",{<ex<(press)}{(way)},"34,04255319",142,581016,2,"1,89E-05","0,0016993666","36,11111111",73,340039,"32,25806452",63,727683
66449,expressways,NN,3,"1,2,0",{<ex<(press)}{(way)},"34,04255319",142,581016,2,"1,89E-05","0,0016993666","36,11111111",73,340039,"32,25806452",63,727683
71592,congressman,NN,3,"1,2,0",{<co<(gress)}(man),"22,49322493",370,1256048,2,"1,51E-05","0,002935269581",16,26,98632,"4,761904762",211,300379
71594,congressmen,NN,3,"1,2,0",{<co<(gress)}(men),"30,08130081",370,1256048,2,"1,51E-05","0,002935269581",32,26,98632,"1,910828025",158,125014
71595,congresswoman,NN,3,"1,2,0",{<co<(gress)}(woman),"61,24661247",370,1256048,2,"1,51E-05","0,002935269581",68,26,98632,"13,51351351",38,74275
71596,congresswomen,NN,3,"1,2,0",{<co<(gress)}(women),"83,7398374",370,1256048,2,"1,51E-05","0,002935269581",92,26,98632,"10,34482759",30,123504
78087,antiaircraft,JJ,3,"1,2,0",<anti<{(air)}{(craft)},"32,43243243",38,9922,4,"0,0001007861318","0,0001544878727","64,58333333",49,149120,"56,52173913",24,34488
79111,accelerometer,NN,3,"1,2,0",{<a<(celer)(meter)},"59,41558442",309,1336429,1,"1,72E-05","0,003553221072","85,71428571",8,19077,"52,63157895",58,68090
79112,accelerometers,NN,3,"1,2,0",{<a<(celer)(meter)},"59,41558442",309,1336429,1,"1,72E-05","0,003553221072","85,71428571",8,19077,"52,63157895",58,68090
79235,acknowledge,VB,3,"1,2,0",{<a<(know)(ledge)},"7,142857143",309,1336429,1,"1,72E-05","0,003553221072","21,05263158",20,1110615,"12,5",9,109567
79236,acknowledged,VB|JJ,3,"1,2,0",{<a<(know)(ledge)},"7,142857143",309,1336429,1,"1,72E-05","0,003553221072","21,05263158",20,1110615,"12,5",9,109567
79238,acknowledges,VB,3,"1,2,0",{<a<(know)(ledge)},"7,142857143",309,1336429,1,"1,72E-05","0,003553221072","21,05263158",20,1110615,"12,5",9,109567
79239,acknowledging,VB,3,"1,2,0",{<a<(know)(ledge)},"7,142857143",309,1336429,1,"1,72E-05","0,003553221072","21,05263158",20,1110615,"12,5",9,109567
