ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
2748,unputdownable,JJ,4,"1,2,1",<un<{(put)}{(down)}>able>,"89,96235885",798,538545,2,"7,24E-05","0,006025027035",100,7,358811,"92,59259259",28,315280,"88,97818599",872,1227992,4,"3,18E-05","0,006025027035"
2795,UNSELFCONSCIOUSNESS,NN,4,"1,2,1",<un<{(self)}{(conscious)}>ness>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","95,45454545",23,458870,100,11,22003,"81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
3545,triplicated,VB|JJ,3,"1,2,1",{(<tri<(plic)>ate>)},75,21,14176,3,"0,0002116252822","0,0004634636181","78,94736842",20,29024,"78,95299145",937,2569118,"2,65E-05","0,01050517534",,,,
3546,triplicates,VB,3,"1,2,1",{(<tri<(plic)>ate>)},75,21,14176,3,"0,0002116252822","0,0004634636181","78,94736842",20,29024,"78,95299145",937,2569118,"2,65E-05","0,01050517534",,,,
3547,triplicating,VB|NN|JJ,3,"1,2,1",{(<tri<(plic)>ate>)},75,21,14176,3,"0,0002116252822","0,0004634636181","78,94736842",20,29024,"78,95299145",937,2569118,"2,65E-05","0,01050517534",,,,
10648,replicas,NN,3,"1,2,1",{(<re<(plic)>a>)},"44,77911647",499,2175658,2,"1,38E-05","0,004634636181","52,63157895",20,29024,40,61,89636,"2,23E-05","0,0003089757454",,,,
10649,replicated,VB|JJ,3,"1,2,1",{(<re<(plic)>ate>)},"29,11646586",499,2175658,2,"1,38E-05","0,004634636181","26,31578947",20,29024,"27,77777778",937,2569118,"2,65E-05","0,01050517534",,,,
10650,replicates,VB,3,"1,2,1",{(<re<(plic)>ate>)},"29,11646586",499,2175658,2,"1,38E-05","0,004634636181","26,31578947",20,29024,"27,77777778",937,2569118,"2,65E-05","0,01050517534",,,,
10651,replicating,VB|NN|JJ,3,"1,2,1",{(<re<(plic)>ate>)},"29,11646586",499,2175658,2,"1,38E-05","0,004634636181","26,31578947",20,29024,"27,77777778",937,2569118,"2,65E-05","0,01050517534",,,,
11253,quincentenary,JJ,4,"1,2,1",(quin){<centi<(ann)>ory>},100,2,345,4,100,11,3205,5,"0,0003120124805",100,23,49836,"89,85915493",356,725186,3,"2,62E-05","0,002935269581"
13712,PHOTOMICROGRAPHY,NN,4,"1,2,1",{(photo)}{<micro<(graph)>y>},"85,71428571",29,54567,5,"91,66666667",25,18576,5,0,"94,7826087",116,198105,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
14400,PARSYMPATHETIC,JJ,4,"1,2,1",{(par)}{<sym<(patho)>ic>},95,21,34876,3,"90,90909091",12,14606,3,0,"87,5",49,81153,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781"
15718,ONEUPMANSHIP,NN,4,"1,2,1",{(one)}<up<(man)>ship>,100,9,2327675,3,"93,87755102",50,208046,2,"4,81E-06","80,95238095",211,300379,"86,66666667",76,164220,4,"1,22E-05","0,0003089757454"
18236,microbiologist,NN,4,"1,2,1",<micro<{(bio)(log)>ist>},"54,16666667",25,18576,5,0,0,"55,17241379",30,41459,"47,19626168",215,380513,"40,9978308",462,382916,3,"6,27E-05","0,003707708945"
18237,microbiologists,NN,4,"1,2,1",<micro<{(bio)(log)>ist>},"54,16666667",25,18576,5,0,0,"55,17241379",30,41459,"47,19626168",215,380513,"40,9978308",462,382916,3,"6,27E-05","0,003707708945"
18730,MACROPATHOLOGY,NN,4,"1,2,1",<macro<{(patho)(log)>y>},"85,71428571",8,616,5,0,0,"87,5",49,81153,"95,79439252",215,380513,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
21550,intermediaries,NN,3,"1,2,1",{(<inter<(medi)>ory>)},"31,85840708",114,343106,5,"8,74E-06","0,0004634636181",0,1,726,"31,26760563",356,725186,"2,62E-05","0,002935269581",,,,
22350,implicates,VB,3,"1,2,1",{(<in<(plic)>ate>)},"34,17366947",358,2402388,2,"6,66E-06","0,002471805963","42,10526316",20,29024,"30,44871795",937,2569118,"2,65E-05","0,01050517534",,,,
22351,implicating,VB|NN,3,"1,2,1",{(<in<(plic)>ate>)},"34,17366947",358,2402388,2,"6,66E-06","0,002471805963","42,10526316",20,29024,"30,44871795",937,2569118,"2,65E-05","0,01050517534",,,,
27641,explicated,VB|JJ,3,"1,2,1",{(<ex<(plic)>ate>)},"49,64539007",142,581016,2,"1,89E-05","0,0016993666","68,42105263",20,29024,"61,64529915",937,2569118,"2,65E-05","0,01050517534",,,,
27705,explicates,VB,3,"1,2,1",{(<ex<(plic)>ate>)},"49,64539007",142,581016,2,"1,89E-05","0,0016993666","68,42105263",20,29024,"61,64529915",937,2569118,"2,65E-05","0,01050517534",,,,
27706,explicating,VB,3,"1,2,1",{(<ex<(plic)>ate>)},"49,64539007",142,581016,2,"1,89E-05","0,0016993666","68,42105263",20,29024,"61,64529915",937,2569118,"2,65E-05","0,01050517534",,,,
37781,assemblywomen,NN,4,"1,2,1",{<a<(semble)}>y>{(women)},"93,83116883",309,1336429,1,"1,72E-05","0,003553221072",100,12,35948,"73,64185111",2486,3870233,"4,99E-05","0,02981615943","51,72413793",30,123504,5
38005,autobiographies,NN,4,"1,2,1",<auto<{(bio)(graph)>y>},"29,41176471",18,20321,4,0,0,"24,13793103",30,41459,"17,39130435",116,198105,"9,577464789",2486,3870233,1,"4,99E-05","0,02981615943"
38046,antepenultimate,JJ,4,"1,2,1",<ante<{(pen)(ultim)>ate>},"83,33333333",7,185,4,"0,005405405405","0,0001544878727",90,11,10435,75,5,25403,"91,02564103",937,2569118,3,"2,65E-05","0,01050517534"
38745,ANISOTROPY,NN,4,"1,2,1",<a<{(iso)(trop)>y>},"73,05194805",309,1336429,1,"1,72E-05","0,003553221072","45,45454545",12,1619,100,2,171,"40,32193159",2486,3870233,1,"4,99E-05","0,02981615943"
40935,unsatisfactory,JJ,4,"1,2,1",<un<{(satis)(fact)>ory>},"19,07151819",798,538545,2,"7,24E-05","0,006025027035","38,46153846",14,32903,"54,16666667",25,364953,"35,21126761",356,725186,3,"2,62E-05","0,002935269581"
41314,unequivocal,JJ,4,"1,2,1",<un<{(equi)(voc)>al>},"31,86951066",798,538545,2,"7,24E-05","0,006025027035","40,81632653",50,127793,"36,36363636",23,38814,"48,39160839",1431,4704731,2,"9,14E-06","0,006642978526"
41868,undemocratic,JJ,4,"1,2,1",<un<{(demo)(crat)}>ic>,"30,48933501",798,538545,2,"7,24E-05","0,006025027035",60,11,83162,35,21,35528,"37,21618954",1014,1472797,2,"2,78E-05","0,006334002781"
42059,trigonometry,NN,4,"1,2,1",{<tri<(gono)(meter)>y>},45,21,14176,3,"0,0002116252822","0,0004634636181",0,2,146,"50,87719298",58,68090,"28,61167002",2486,3870233,1,"4,99E-05","0,02981615943"
52818,photosynthesis,NN,4,"1,2,1",(photo){<syn<(thes)>sis>},"21,42857143",29,54567,5,"47,82608696",24,33723,3,0,70,11,29982,"44,73684211",39,63372,3,"1,58E-05","0,0001544878727"
