ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
16854,multiplications,NN,4,"1,2,2",{(<muli<(plic)>ate>)}>ion>,0,2,1848,4,0,0,"21,05263158",20,29024,"27,13675214",937,2569118,"2,65E-05","0,01050517534","30,47559449",1599,6530204,3,"9,03E-06","0,009114784489",,,,
18242,MICROCYTOCHEMISTRY,NN,5,"1,2,2",<micro<(cyto){(chem)>ist>}>ory>,"91,66666667",25,18576,5,0,0,100,5,107,"86,66666667",16,43382,"95,66160521",462,382916,3,"6,27E-05","0,003707708945","95,77464789",356,725186,3,"2,62E-05","0,002935269581"
18243,microbiological,JJ,5,"1,2,2",<micro<{(bio)(log)>ic>}>al>,"58,33333333",25,18576,5,0,0,"72,4137931",30,41459,"58,87850467",215,380513,"53,8005923",1014,1472797,2,"2,78E-05","0,006334002781","61,60839161",1431,4704731,2,"9,14E-06","0,006642978526"
18729,MACROPATHOLOGICAL,JJ,5,"1,2,2",<macro<{(patho)(log)>ic>}>al>,"85,71428571",8,616,5,0,0,"87,5",49,81153,"95,79439252",215,380513,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526"
22562,incontrovertibly,RB,5,"1,2,2",<im<{(contra)(vert)}>able>>y>,"70,1674277",658,610746,2,"4,26E-05","0,00401668469","74,07407407",28,38273,64,26,60266,"70,03444317",872,1227992,4,"3,18E-05","0,006025027035","50,30181087",2486,3870233,1,"4,99E-05","0,02981615943"
28535,encyclopedically,NN|VB,5,"1,2,2",{<en<(cycle)(ped)>ic>}>ly>,"92,5170068",148,331620,2,"2,11E-05","0,001081415109","94,44444444",19,57570,"81,25",17,10650,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
30888,DEMYTHOLOGIZATION,NN,5,"1,2,2",<de<{(myth)}(log)>iz>>ion>,"92,33576642",275,559431,2,"4,65E-05","0,00401668469","87,5",9,17087,"92,99065421",215,380513,0,1,1,2,1,"0,0001544878727","96,05757196",1599,6530204,3,"9,03E-06","0,009114784489"
41043,untrustworthiness,NN,5,"1,2,2",<un<{(trust)}{(worth)}>y>>ness>,"72,27101631",798,538545,2,"7,24E-05","0,006025027035","59,09090909",23,42953,"68,96551724",30,103812,"51,54929577",2486,3870233,1,"4,99E-05","0,02981615943","38,647343",1243,181553,4,"0,0005838515475","0,01637571451"
41315,unequivocally,RB,5,"1,2,2",<un<{(equi)(voc)>al>}>ly>,"21,58092848",798,538545,2,"7,24E-05","0,006025027035","34,69387755",50,127793,"22,72727273",23,38814,"38,74125874",1431,4704731,2,"9,14E-06","0,006642978526","18,12219537",2898,3857999,2,"4,48E-05","0,02672640198"
55057,nonmythological,JJ,5,"1,2,2",<non<{(myth)}(log)>ic>>al>,"77,46478873",72,16866,3,"0,0002964544053","0,0007724393635",100,9,17087,"95,79439252",215,380513,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526"
55885,multiplication,NN,4,"1,2,2",{(<muli<(plic)>ate>)}>ion>,0,2,1848,4,0,0,"21,05263158",20,29024,"27,13675214",937,2569118,"2,65E-05","0,01050517534","30,47559449",1599,6530204,3,"9,03E-06","0,009114784489",,,,
58000,maladministration,NN,5,"1,2,2",{(mal)}{<a<(minister)>ate>}>ion>,40,6,3913,3,"77,27272727",309,1336429,1,"1,72E-05","81,81818182",12,116543,"78,20512821",937,2569118,3,"2,65E-05","0,01050517534","80,41301627",1599,6530204,3,"9,03E-06","0,009114784489"
59580,kinesthetically,RB,5,"1,2,2",{(kin)}{<es<(thet)>ic>}>ly>,75,9,3300,3,75,5,957,2,0,"76,92307692",14,4465,"80,55281343",1014,1472797,2,"2,78E-05","0,006334002781","65,44701415",2898,3857999,2,"4,48E-05","0,02672640198"
61323,implication,NN,4,"1,2,2",{(<in<(plic)>ate>)}>ion>,"9,803921569",358,2402388,2,"6,66E-06","0,002471805963","5,263157895",20,29024,"6,837606838",937,2569118,"2,65E-05","0,01050517534","9,261576971",1599,6530204,3,"9,03E-06","0,009114784489",,,,
61324,implications,NN,4,"1,2,2",{(<in<(plic)>ate>)}>ion>,"9,803921569",358,2402388,2,"6,66E-06","0,002471805963","5,263157895",20,29024,"6,837606838",937,2569118,"2,65E-05","0,01050517534","9,261576971",1599,6530204,3,"9,03E-06","0,009114784489",,,,
76673,autobiographical,JJ,5,"1,2,2",<auto<{(bio)(graph)>ic>}>al>,"41,17647059",18,20321,4,0,0,"44,82758621",30,41459,"33,04347826",116,198105,"35,43928924",1014,1472797,2,"2,78E-05","0,006334002781","45,87412587",1431,4704731,2,"9,14E-06","0,006642978526"
77462,appendectomy,NN,5,"1,2,2",{<a<(pend)>ec>(tom)>y>},"72,07792208",309,1336429,1,"1,72E-05","0,003553221072","78,78787879",34,169032,100,3,370,0,0,"64,28571429",15,67254,3,"39,67806841",2486,3870233,1,"4,99E-05","0,02981615943"
