ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,PREF2_PFMF,PREF2_FamSize,PREF2_Freq_HAL,PREF2_length,PREF2_P,PREF2_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL
2491,undeceive,VB,3,"2,1,0",<un<{<de<(ceive)},"84,3161857",798,538545,2,"7,24E-05","0,006025027035","87,59124088",275,559431,2,"4,65E-05","0,00401668469","84,21052632",20,181726
2492,undeceived,JJ,3,"2,1,0",<un<{<de<(ceive)},"84,3161857",798,538545,2,"7,24E-05","0,006025027035","87,59124088",275,559431,2,"4,65E-05","0,00401668469","84,21052632",20,181726
2493,undeceives,VB,3,"2,1,0",<un<{<de<(ceive)},"84,3161857",798,538545,2,"7,24E-05","0,006025027035","87,59124088",275,559431,2,"4,65E-05","0,00401668469","84,21052632",20,181726
2494,undeceiving,JJ,3,"2,1,0",<un<{<de<(ceive)},"84,3161857",798,538545,2,"7,24E-05","0,006025027035","87,59124088",275,559431,2,"4,65E-05","0,00401668469","84,21052632",20,181726
2521,underexposed,VB|JJ,3,"2,1,0",<under<{<ex<(pose)},"56,04395604",92,78888,5,"5,07E-05","0,0006179514908","51,77304965",142,581016,2,"1,89E-05","0,0016993666","77,77777778",55,328330
2522,underexposes,VB,3,"2,1,0",<under<{<ex<(pose)},"56,04395604",92,78888,5,"5,07E-05","0,0006179514908","51,77304965",142,581016,2,"1,89E-05","0,0016993666","77,77777778",55,328330
2523,underexposing,VB|NN|JJ,3,"2,1,0",<under<{<ex<(pose)},"56,04395604",92,78888,5,"5,07E-05","0,0006179514908","51,77304965",142,581016,2,"1,89E-05","0,0016993666","77,77777778",55,328330
2590,undischarged,JJ,3,"2,1,0",<un<<dis<{(charge)},"85,94730238",798,538545,2,"7,24E-05","0,006025027035","83,72881356",296,452605,3,"6,63E-05","0,004634636181",100,12,98907
5504,superintended,VB|JJ,3,"2,1,0",{<super<<in<(tend)},"67,85714286",57,39141,5,"0,0001277432871","0,0007724393635","82,35294118",358,2402388,2,"6,66E-06","0,002471805963","84,21052632",20,212044
5505,superintending,VB|NN|JJ,3,"2,1,0",{<super<<in<(tend)},"67,85714286",57,39141,5,"0,0001277432871","0,0007724393635","82,35294118",358,2402388,2,"6,66E-06","0,002471805963","84,21052632",20,212044
5506,superintends,VB,3,"2,1,0",{<super<<in<(tend)},"67,85714286",57,39141,5,"0,0001277432871","0,0007724393635","82,35294118",358,2402388,2,"6,66E-06","0,002471805963","84,21052632",20,212044
10444,reimbursing,VB|NN,3,"2,1,0",<re<{<in<(burse)},"25,10040161",499,2175658,2,"1,38E-05","0,004634636181","28,57142857",358,2402388,2,"6,66E-06","0,002471805963",25,5,3787
10453,reinstates,VB,3,"2,1,0",<re<{<in<(state)},"53,01204819",499,2175658,2,"1,38E-05","0,004634636181","60,50420168",358,2402388,2,"6,66E-06","0,002471805963","48,27586207",30,451541
10454,reinstating,VB|NN,3,"2,1,0",<re<{<in<(stat)},"46,98795181",499,2175658,2,"1,38E-05","0,004634636181","53,78151261",358,2402388,2,"6,66E-06","0,002471805963","42,85714286",15,76366
10824,readjusting,VB|NN|JJ,3,"2,1,0",<re<{<a<(just)},"50,60240964",499,2175658,2,"1,38E-05","0,004634636181","45,12987013",309,1336429,1,"1,72E-05","0,003553221072","61,9047619",22,1112386
10826,readjusts,VB,3,"2,1,0",<re<{<a<(just)},"50,60240964",499,2175658,2,"1,38E-05","0,004634636181","45,12987013",309,1336429,1,"1,72E-05","0,003553221072","61,9047619",22,1112386
10827,reaffirming,VB,3,"2,1,0",<re<{<a<(firm)},"34,73895582",499,2175658,2,"1,38E-05","0,004634636181","29,54545455",309,1336429,1,"1,72E-05","0,003553221072","46,66666667",16,91168
10829,reafforested,VB|JJ,3,"2,1,0",<re<<a<{(forest)},"96,18473896",499,2175658,2,"1,38E-05","0,004634636181","93,83116883",309,1336429,1,"1,72E-05","0,003553221072","64,28571429",15,22985
10830,reafforesting,VB,3,"2,1,0",<re<<a<{(forest)},"96,18473896",499,2175658,2,"1,38E-05","0,004634636181","93,83116883",309,1336429,1,"1,72E-05","0,003553221072","64,28571429",15,22985
10831,reafforests,VB,3,"2,1,0",<re<<a<{(forest)},"96,18473896",499,2175658,2,"1,38E-05","0,004634636181","93,83116883",309,1336429,1,"1,72E-05","0,003553221072","64,28571429",15,22985
10834,realigned,VB|JJ,3,"2,1,0",<re<{<a<(line)},"54,01606426",499,2175658,2,"1,38E-05","0,004634636181","48,37662338",309,1336429,1,"1,72E-05","0,003553221072","52,38095238",64,426769
10835,realigns,VB,3,"2,1,0",<re<{<a<(line)},"54,01606426",499,2175658,2,"1,38E-05","0,004634636181","48,37662338",309,1336429,1,"1,72E-05","0,003553221072","52,38095238",64,426769
10863,reassures,VB,3,"2,1,0",<re<{<a<(sure)},"21,68674699",499,2175658,2,"1,38E-05","0,004634636181","21,75324675",309,1336429,1,"1,72E-05","0,003553221072","34,7826087",24,362162
10979,reconstitutes,VB,3,"2,1,0",<re<{<co<(stitute)},"53,41365462",499,2175658,2,"1,38E-05","0,004634636181","51,76151762",370,1256048,2,"1,51E-05","0,002935269581",64,26,153966
10980,reconstituting,VB,3,"2,1,0",<re<{<co<(stitute)},"53,41365462",499,2175658,2,"1,38E-05","0,004634636181","51,76151762",370,1256048,2,"1,51E-05","0,002935269581",64,26,153966
10981,reconstituted,VB|JJ,3,"2,1,0",<re<{<co<(stitute)},"53,41365462",499,2175658,2,"1,38E-05","0,004634636181","51,76151762",370,1256048,2,"1,51E-05","0,002935269581",64,26,153966
10982,reconstructing,VB,3,"2,1,0",<re<{<co<(struct)},"24,69879518",499,2175658,2,"1,38E-05","0,004634636181","28,99728997",370,1256048,2,"1,51E-05","0,002935269581","42,85714286",36,214564
11061,redistributes,VB,3,"2,1,0",<re<{<dis<(tribute)},"11,44578313",499,2175658,2,"1,38E-05","0,004634636181","7,118644068",296,452605,3,"6,63E-05","0,004634636181","36,84210526",20,191395
11062,redistributing,VB,3,"2,1,0",<re<{<dis<(tribute)},"11,44578313",499,2175658,2,"1,38E-05","0,004634636181","7,118644068",296,452605,3,"6,63E-05","0,004634636181","36,84210526",20,191395
12448,preconceives,VB,3,"2,1,0",<pre<{<co<(ceive)},"23,13432836",135,155948,3,"0,000102598302","0,002471805963","35,77235772",370,1256048,2,"1,51E-05","0,002935269581","31,57894737",20,181726
12449,preconceiving,VB|NN|JJ,3,"2,1,0",<pre<{<co<(ceive)},"23,13432836",135,155948,3,"0,000102598302","0,002471805963","35,77235772",370,1256048,2,"1,51E-05","0,002935269581","31,57894737",20,181726
12481,predisposes,VB,3,"2,1,0",<pre<{<dis<(pose)},"37,31343284",135,155948,3,"0,000102598302","0,002471805963","33,55932203",296,452605,3,"6,63E-05","0,004634636181","55,55555556",55,328330
