ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,PREF2_PFMF,PREF2_FamSize,PREF2_Freq_HAL,PREF2_length,PREF2_P,PREF2_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
270,anaesthetics,NN,4,"2,1,1",{<a<<aes<(thet)>ic>},"53,57142857",309,1336429,1,"1,72E-05","0,003553221072",40,6,3260,3,"0,0006134969325","0,0003089757454","38,46153846",14,4465,"42,25074038",1014,1472797,2,"2,78E-05","0,006334002781"
271,anaesthetist,NN,4,"2,1,1",{<a<<aes<(thet)>ist>},"81,81818182",309,1336429,1,"1,72E-05","0,003553221072",60,6,3260,3,"0,0006134969325","0,0003089757454","53,84615385",14,4465,"78,95878525",462,382916,3,"6,27E-05","0,003707708945"
272,anaesthetists,NN,4,"2,1,1",{<a<<aes<(thet)>ist>},"81,81818182",309,1336429,1,"1,72E-05","0,003553221072",60,6,3260,3,"0,0006134969325","0,0003089757454","53,84615385",14,4465,"78,95878525",462,382916,3,"6,27E-05","0,003707708945"
273,anaesthetized,VB|JJ,4,"2,1,1",{<a<<aes<(thet)>ize>},"81,81818182",309,1336429,1,"1,72E-05","0,003553221072",60,6,3260,3,"0,0006134969325","0,0003089757454","53,84615385",14,4465,"73,89277389",430,443161,3,"0,0001489300728","0,0101961996"
274,anaesthetizes,VB,4,"2,1,1",{<a<<aes<(thet)>ize>},"81,81818182",309,1336429,1,"1,72E-05","0,003553221072",60,6,3260,3,"0,0006134969325","0,0003089757454","53,84615385",14,4465,"73,89277389",430,443161,3,"0,0001489300728","0,0101961996"
275,anaesthetizing,VB|NN|JJ,4,"2,1,1",{<a<<aes<(thet)>ize>},"81,81818182",309,1336429,1,"1,72E-05","0,003553221072",60,6,3260,3,"0,0006134969325","0,0003089757454","53,84615385",14,4465,"73,89277389",430,443161,3,"0,0001489300728","0,0101961996"
1686,vasectomies,NN,4,"2,1,1",{<vas<<ec<(tom)>y>},0,1,417,3,0,0,"33,33333333",4,1718,2,0,0,"28,57142857",15,67254,"18,5110664",2486,3870233,1,"4,99E-05","0,02981615943"
2524,underexposures,NN,4,"2,1,1",<under<{<ex<(pose)}>ure>,"69,23076923",92,78888,5,"5,07E-05","0,0006179514908","64,53900709",142,581016,2,"1,89E-05","0,0016993666","83,33333333",55,328330,"79,3814433",98,541479,3,"3,69E-06","0,0003089757454"
2676,uninhibitedly,RB,4,"2,1,1",<un<{<in<(hibit)}>ly>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","96,07843137",358,2402388,2,"6,66E-06","0,002471805963","94,44444444",19,40276,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
2763,UNRESTRICTEDLY,RB,4,"2,1,1",<un<{<re<(strict)}>ly>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","97,18875502",499,2175658,2,"1,38E-05","0,004634636181",100,19,61851,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
3208,unaffectedly,RB,4,"2,1,1",<un<{<a<(fect)}>ly>,"92,84818068",798,538545,2,"7,24E-05","0,006025027035","96,42857143",309,1336429,1,"1,72E-05","0,003553221072","96,55172414",59,315367,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
3223,unbeknown,JJ,4,"2,1,1",<un<<be<{(know)}>n>,"73,27478043",798,538545,2,"7,24E-05","0,006025027035","59,52380952",85,59452,2,"0,000386866716","0,003553221072","89,47368421",20,1110615,"85,23489933",150,714837,1,"1,12E-05","0,001235902982"
5988,subcommittees,NN,4,"2,1,1",<sub<{<co<(mitt)>ee>},"16,19047619",106,323358,3,"1,86E-05","0,0009269272362","27,37127371",370,1256048,2,"1,51E-05","0,002935269581","16,66666667",7,39916,"14,89361702",48,130049,2,"1,54E-05","0,0003089757454"
8661,semiconductors,NN,4,"2,1,1",<semi<{<co<(duct)}>or>,0,21,7889,4,"0,0007605526683","0,0009269272362","13,82113821",370,1256048,2,"1,51E-05","0,002935269581","15,15151515",67,559015,"13,88888889",289,937614,2,"9,60E-06","0,001390390854"
10445,reincarnates,VB,4,"2,1,1",<re<{<in<(carn)>ate>},"41,96787149",499,2175658,2,"1,38E-05","0,004634636181","47,89915966",358,2402388,2,"6,66E-06","0,002471805963",50,9,12776,"39,85042735",937,2569118,3,"2,65E-05","0,01050517534"
10446,reincarnating,VB|NN|JJ,4,"2,1,1",<re<{<in<(carn)>ate>},"41,96787149",499,2175658,2,"1,38E-05","0,004634636181","47,89915966",358,2402388,2,"6,66E-06","0,002471805963",50,9,12776,"39,85042735",937,2569118,3,"2,65E-05","0,01050517534"
10452,reinstatements,NN,4,"2,1,1",<re<{<in<(state)}>ment>,"60,24096386",499,2175658,2,"1,38E-05","0,004634636181","66,94677871",358,2402388,2,"6,66E-06","0,002471805963","65,51724138",30,451541,"54,00696864",288,1423689,4,"1,26E-05","0,002780781709"
10455,reinsurances,NN,4,"2,1,1",<re<{<in<(sure)}>ance>,"65,06024096",499,2175658,2,"1,38E-05","0,004634636181","70,58823529",358,2402388,2,"6,66E-06","0,002471805963","60,86956522",24,362162,"56,52173913",323,977837,4,"7,16E-06","0,001081415109"
