ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,PREF2_PFMF,PREF2_FamSize,PREF2_Freq_HAL,PREF2_length,PREF2_P,PREF2_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
2726,unobtrusiveness,NN,5,"2,1,2",<un<{<ob<(trude)}>ive>>ness>,"88,33124216",798,538545,2,"7,24E-05","0,006025027035",100,25,170778,2,"1,17E-05","0,0003089757454","83,33333333",19,7281,"91,36442142",580,1037354,3,"1,74E-05","0,002780781709","67,79388084",1243,181553,4,"0,0005838515475","0,01637571451"
5497,superconductivity,NN,5,"2,1,2",<super<{<co<(duct)}>ive>>ity>,"33,92857143",57,39141,5,"0,0001277432871","0,0007724393635","53,11653117",370,1256048,2,"1,51E-05","0,002935269581","59,09090909",67,559015,"42,6597582",580,1037354,3,"1,74E-05","0,002780781709","46,45941278",580,1647588,3,"1,76E-05","0,004480148308"
10447,reincarnations,NN,5,"2,1,2",<re<{<in<(carn)>ate>}>ion>,"14,25702811",499,2175658,2,"1,38E-05","0,004634636181","18,767507",358,2402388,2,"6,66E-06","0,002471805963","12,5",9,12776,"14,42307692",937,2569118,3,"2,65E-05","0,01050517534","18,33541927",1599,6530204,3,"9,03E-06","0,009114784489"
11090,reduplication,NN,5,"2,1,2",<re<{<du<(plic)>ate>}>ion>,"83,13253012",499,2175658,2,"1,38E-05","0,004634636181","66,66666667",7,11303,2,"0,0001769441741","0,0003089757454","84,21052632",20,29024,"80,98290598",937,2569118,3,"2,65E-05","0,01050517534","83,16645807",1599,6530204,3,"9,03E-06","0,009114784489"
11091,reduplications,NN,5,"2,1,2",<re<{<du<(plic)>ate>}>ion>,"83,13253012",499,2175658,2,"1,38E-05","0,004634636181","66,66666667",7,11303,2,"0,0001769441741","0,0003089757454","84,21052632",20,29024,"80,98290598",937,2569118,3,"2,65E-05","0,01050517534","83,16645807",1599,6530204,3,"9,03E-06","0,009114784489"
16004,NONREACTIVITY,NN,5,"2,1,2",<non<{<re<(act)}>ive>>ity>,"77,46478873",72,16866,3,"0,0002964544053","0,0007724393635","97,18875502",499,2175658,2,"1,38E-05","0,004634636181","98,27586207",59,716577,"94,99136442",580,1037354,3,"1,74E-05","0,002780781709","95,50949914",580,1647588,3,"1,76E-05","0,004480148308"
17718,misappropriation,NN,5,"2,1,2",<mis<{<a<(propri)>ate>}>ion>,"50,90909091",111,103160,3,"0,0001260178364","0,002008342345","59,09090909",309,1336429,1,"1,72E-05","0,003553221072",70,11,84186,"61,85897436",937,2569118,3,"2,65E-05","0,01050517534","63,51689612",1599,6530204,3,"9,03E-06","0,009114784489"
17719,misappropriations,NN,5,"2,1,2",<mis<{<a<(propri)>ate>}>ion>,"50,90909091",111,103160,3,"0,0001260178364","0,002008342345","59,09090909",309,1336429,1,"1,72E-05","0,003553221072",70,11,84186,"61,85897436",937,2569118,3,"2,65E-05","0,01050517534","63,51689612",1599,6530204,3,"9,03E-06","0,009114784489"
21788,irreconcilably,RB,5,"2,1,2",<im<{<re<(concile)}>able>>y>,"66,05783866",658,610746,2,"4,26E-05","0,00401668469","81,52610442",499,2175658,2,"1,38E-05","0,004634636181","66,66666667",10,3740,"65,90126292",872,1227992,4,"3,18E-05","0,006025027035","46,59959759",2486,3870233,1,"4,99E-05","0,02981615943"
21792,irreducibly,RB,5,"2,1,2",<im<{<re<(duct)}>able>>y>,"82,80060883",658,610746,2,"4,26E-05","0,00401668469","93,37349398",499,2175658,2,"1,38E-05","0,004634636181","93,93939394",67,559015,"82,2043628",872,1227992,4,"3,18E-05","0,006025027035","63,54124748",2486,3870233,1,"4,99E-05","0,02981615943"
21799,irrepressibly,RB,5,"2,1,2",<im<{<re<(press)}>able>>y>,"80,51750381",658,610746,2,"4,26E-05","0,00401668469","91,96787149",499,2175658,2,"1,38E-05","0,004634636181","87,5",73,340039,"79,4489093",872,1227992,4,"3,18E-05","0,006025027035","60,44265594",2486,3870233,1,"4,99E-05","0,02981615943"
21883,indiscriminately,RB,5,"2,1,2",<im<{<dis<(crimin)>ate>}>ly>,"26,02739726",658,610746,2,"4,26E-05","0,00401668469","36,61016949",296,452605,3,"6,63E-05","0,004634636181","52,94117647",18,93592,"45,94017094",937,2569118,3,"2,65E-05","0,01050517534","20,22782188",2898,3857999,2,"4,48E-05","0,02672640198"
21936,ineffectually,RB,5,"2,1,2",<im<{<e<(fect)}>al>>y>,"64,23135464",658,610746,2,"4,26E-05","0,00401668469","75,78947368",96,397964,1,"1,76E-05","0,001081415109","77,5862069",59,315367,"75,73426573",1431,4704731,2,"9,14E-06","0,006642978526","45,15090543",2486,3870233,1,"4,99E-05","0,02981615943"
21956,inexpediency,NN,5,"2,1,2",<im<{<ex<(ped)>ance>}>y>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469","94,32624113",142,581016,2,"1,89E-05","0,0016993666","93,75",17,10650,"95,0310559",323,977837,4,"7,16E-06","0,001081415109","81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
22213,insubordinations,NN,5,"2,1,2",<im<{<sub<(ordin)>ate>}>ion>,"48,70624049",658,610746,2,"4,26E-05","0,00401668469","59,04761905",106,323358,3,"1,86E-05","0,0009269272362","66,66666667",22,45460,"68,58974359",937,2569118,3,"2,65E-05","0,01050517534","69,7747184",1599,6530204,3,"9,03E-06","0,009114784489"
22320,imperceptibility,NN,5,"2,1,2",<im<{<per<(cept)}>able>>ity>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469","94,33962264",54,126209,3,"2,38E-05","0,0004634636181","95,74468085",48,216413,"93,22617681",872,1227992,4,"3,18E-05","0,006025027035","95,50949914",580,1647588,3,"1,76E-05","0,004480148308"
22419,improvidently,RB,5,"2,1,2",<im<{<pro<(vide)>ant>}>ly>,"82,80060883",658,610746,2,"4,26E-05","0,00401668469","86,44067797",119,1206582,3,"2,49E-06","0,0004634636181","92,30769231",14,282157,"88,98488121",464,1534593,3,"7,82E-06","0,001853854472","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
22455,inappropriately,RB,5,"2,1,2",<im<{<a<(propri)>ate>}>ly>,"18,41704718",658,610746,2,"4,26E-05","0,00401668469","33,76623377",309,1336429,1,"1,72E-05","0,003553221072",50,11,84186,"37,71367521",937,2569118,3,"2,65E-05","0,01050517534","15,80945806",2898,3857999,2,"4,48E-05","0,02672640198"
22536,incomprehensibility,NN,5,"2,1,2",<im<{<co<(prehend)}>able>>ity>,"62,70928463",658,610746,2,"4,26E-05","0,00401668469","78,04878049",370,1256048,2,"1,51E-05","0,002935269581","71,42857143",22,23628,"62,80137773",872,1227992,4,"3,18E-05","0,006025027035","71,3298791",580,1647588,3,"1,76E-05","0,004480148308"
22537,incomprehensibly,RB,5,"2,1,2",<im<{<co<(prehend)}>able>>y>,"58,90410959",658,610746,2,"4,26E-05","0,00401668469","75,33875339",370,1256048,2,"1,51E-05","0,002935269581","66,66666667",22,23628,"58,55338691",872,1227992,4,"3,18E-05","0,006025027035","41,28772636",2486,3870233,1,"4,99E-05","0,02981615943"
22538,inconceivability,NN,5,"2,1,2",<im<{<co<(ceive)}>able>>ity>,"87,06240487",658,610746,2,"4,26E-05","0,00401668469","92,41192412",370,1256048,2,"1,51E-05","0,002935269581","89,47368421",20,181726,"86,68197474",872,1227992,4,"3,18E-05","0,006025027035","90,50086356",580,1647588,3,"1,76E-05","0,004480148308"
22539,inconceivably,RB,5,"2,1,2",<im<{<co<(ceive)}>able>>y>,"65,60121766",658,610746,2,"4,26E-05","0,00401668469","80,48780488",370,1256048,2,"1,51E-05","0,002935269581","73,68421053",20,181726,"65,67164179",872,1227992,4,"3,18E-05","0,006025027035","46,1167002",2486,3870233,1,"4,99E-05","0,02981615943"
22540,inconclusively,RB,5,"2,1,2",<im<{<co<(clude)}>ive>>ly>,"71,38508371",658,610746,2,"4,26E-05","0,00401668469","85,09485095",370,1256048,2,"1,51E-05","0,002935269581","88,88888889",19,506137,"80,31088083",580,1037354,3,"1,74E-05","0,002780781709","57,92198826",2898,3857999,2,"4,48E-05","0,02672640198"
22545,inconclusiveness,NN,5,"2,1,2",<im<{<co<(clude)}>ive>>ness>,"76,56012177",658,610746,2,"4,26E-05","0,00401668469","87,26287263",370,1256048,2,"1,51E-05","0,002935269581","94,44444444",19,506137,"83,59240069",580,1037354,3,"1,74E-05","0,002780781709","47,26247987",1243,181553,4,"0,0005838515475","0,01637571451"
22555,inconsistently,RB,5,"2,1,2",<im<{<co<(sist)>ant>}>ly>,"46,11872146",658,610746,2,"4,26E-05","0,00401668469","62,87262873",370,1256048,2,"1,51E-05","0,002935269581","75,75757576",34,143621,"61,98704104",464,1534593,3,"7,82E-06","0,001853854472","33,51743183",2898,3857999,2,"4,48E-05","0,02672640198"
