id_master,c1,c2,stim
3237,gad,about,gadabout
4592,knock,about,knockabout
8231,turn,about,turnabout
6139,race,about,raceabout
8331,walk,about,walkabout
6416,run,about,runabout
6384,round,about,roundabout
6393,roust,about,roustabout
4723,lay,about,layabout
8332,walk,abouts,walkabouts
6394,roust,abouts,roustabouts
6417,run,abouts,runabouts
8232,turn,abouts,turnabouts
6385,round,abouts,roundabouts
16600,where,abouts,whereabouts
13515,over,abundance,overabundance
3914,head,ache,headache
538,belly,ache,bellyache
4004,heart,ache,heartache
2493,ear,ache,earache
205,back,ache,backache
7538,stomach,ache,stomachache
8097,tooth,ache,toothache
3915,head,aches,headaches
4005,heart,aches,heartaches
539,belly,aches,bellyaches
2494,ear,aches,earaches
7539,stomach,aches,stomachaches
16087,tooth,aches,toothaches
206,back,aches,backaches
13516,over,achiever,overachiever
16244,under,achiever,underachiever
16245,under,achievers,underachievers
13517,over,achievers,overachievers
8718,wise,acre,wiseacre
8719,wise,acres,wiseacres
13518,over,acting,overacting
5882,play,acting,playacting
13519,over,activity,overactivity
5883,play,actor,playactor
4073,here,after,hereafter
12829,mid,afternoon,midafternoon
4074,here,afters,hereafters
13520,over,age,overage
5369,news,agent,newsagent
5370,news,agents,newsagents
13521,over,ages,overages
12830,mid,air,midair
1345,catch,all,catchall
1315,carry,all,carryall
1911,cover,all,coverall
4151,hold,all,holdall
13522,over,all,overall
6992,sing,along,singalong
7802,tag,along,tagalong
13523,over,anxiety,overanxiety
5086,may,apple,mayapple
308,bake,apple,bakeapple
1959,crab,apple,crabapple
5821,pine,apple,pineapple
5822,pine,apples,pineapples
13524,over,appraisal,overappraisal
8869,yard,arm,yardarm
2756,fire,arm,firearm
8870,yard,arms,yardarms
2757,fire,arms,firearms
8233,turn,around,turnaround
8851,wrap,around,wraparound
6005,pot,ash,potash
2470,dumb,ass,dumbass
4432,jack,ass,jackass
4433,jack,asses,jackasses
1822,counter,attraction,counterattraction
3439,grand,aunt,grandaunt
3440,grand,aunts,grandaunts
966,break,away,breakaway
7582,stow,away,stowaway
7584,straight,away,straightaway
3324,get,away,getaway
1336,cast,away,castaway
7970,throw,away,throwaway
7899,tear,away,tearaway
7827,take,away,takeaway
2094,cut,away,cutaway
6418,run,away,runaway
3342,give,away,giveaway
4079,hide,away,hideaway
8333,walk,away,walkaway
8334,walk,aways,walkaways
4080,hide,aways,hideaways
6419,run,aways,runaways
2095,cut,aways,cutaways
1337,cast,aways,castaways
3326,get,aways,getaways
7585,straight,aways,straightaways
967,break,aways,breakaways
3343,give,aways,giveaways
7583,stow,aways,stowaways
9688,brad,awl,bradawl
9689,brad,awls,bradawls
5950,pole,axe,poleaxe
5773,pick,axe,pickaxe
1025,broad,axe,broadaxe
968,break,axe,breakaxe
5774,pick,axes,pickaxes
5951,pole,axes,poleaxes
2062,cry,babies,crybabies
1145,bush,baby,bushbaby
2063,cry,baby,crybaby
6224,razor,back,razorback
2230,die,back,dieback
2006,crook,back,crookback
6049,prickle,back,prickleback
7066,sling,back,slingback
8547,wet,back,wetback
7971,throw,back,throwback
1265,canvas,back,canvasback
5613,paper,back,paperback
1570,claw,back,clawback
2690,feed,back,feedback
4369,hump,back,humpback
3220,full,back,fullback
4542,kick,back,kickback
2866,flash,back,flashback
3722,half,back,halfback
3545,grey,back,greyback
3510,green,back,greenback
2673,fat,back,fatback
1192,buy,back,buyback
4848,lobster,back,lobsterback
694,blow,back,blowback
8008,tie,back,tieback
3834,hard,back,hardback
4371,hunch,back,hunchback
6111,quarter,back,quarterback
13425,out,back,outback
2639,fall,back,fallback
8132,touch,back,touchback
2096,cut,back,cutback
6347,roll,back,rollback
4237,horse,back,horseback
1778,corner,back,cornerback
2406,draw,back,drawback
3865,hatch,back,hatchback
1214,call,back,callback
6431,saddle,back,saddleback
2224,diamond,back,diamondback
4745,leather,back,leatherback
5786,piggy,back,piggyback
5670,pay,back,payback
3500,gray,back,grayback
4142,hog,back,hogback
5884,play,back,playback
7803,tail,back,tailback
6723,set,back,setback
8694,wing,back,wingback
5262,moss,back,mossback
2735,fin,back,finback
6076,pull,back,pullback
7197,soft,back,softback
6976,silver,back,silverback
4810,line,backer,linebacker
4811,line,backers,linebackers
3723,half,backs,halfbacks
1215,call,backs,callbacks
5787,piggy,backs,piggybacks
8009,tie,backs,tiebacks
7804,tail,backs,tailbacks
2097,cut,backs,cutbacks
4370,hump,backs,humpbacks
4143,hog,backs,hogbacks
5885,play,backs,playbacks
6112,quarter,backs,quarterbacks
3835,hard,backs,hardbacks
3221,full,backs,fullbacks
5671,pay,backs,paybacks
3511,green,backs,greenbacks
2225,diamond,backs,diamondbacks
6225,razor,backs,razorbacks
13426,out,backs,outbacks
4372,hunch,backs,hunchbacks
6348,roll,backs,rollbacks
6077,pull,backs,pullbacks
2867,flash,backs,flashbacks
4543,kick,backs,kickbacks
1266,canvas,backs,canvasbacks
5263,moss,backs,mossbacks
3866,hatch,backs,hatchbacks
2407,draw,backs,drawbacks
5614,paper,backs,paperbacks
1193,buy,backs,buybacks
1436,chaw,bacon,chawbacon
6573,school,bag,schoolbag
448,bean,bag,beanbag
3275,gas,bag,gasbag
2691,feed,bag,feedbag
5216,money,bag,moneybag
3750,hand,bag,handbag
3254,game,bag,gamebag
6432,saddle,bag,saddlebag
4583,kit,bag,kitbag
1305,carpet,bag,carpetbag
15277,sick,bag,sickbag
6484,sand,bag,sandbag
8795,work,bag,workbag
2902,flea,bag,fleabag
8649,wind,bag,windbag
4977,mail,bag,mailbag
5988,post,bag,postbag
6158,rag,bag,ragbag
5460,nose,bag,nosebag
6641,sea,bag,seabag
1306,carpet,bagger,carpetbagger
6485,sand,bagger,sandbagger
13288,nose,bags,nosebags
6433,saddle,bags,saddlebags
2692,feed,bags,feedbags
4978,mail,bags,mailbags
1307,carpet,bags,carpetbags
8650,wind,bags,windbags
3276,gas,bags,gasbags
5989,post,bags,postbags
449,bean,bags,beanbags
6486,sand,bags,sandbags
3751,hand,bags,handbags
2903,flea,bags,fleabags
5217,money,bags,moneybags
6574,school,bags,schoolbags
8601,white,bait,whitebait
2053,crow,bait,crowbait
3836,hard,bake,hardbake
1551,clam,bake,clambake
1552,clam,bakes,clambakes
439,beach,ball,beachball
3572,ground,ball,groundball
3837,hard,ball,hardball
1167,butter,ball,butterball
3423,goof,ball,goofball
397,base,ball,baseball
403,basket,ball,basketball
6150,racquet,ball,racquetball
7496,stick,ball,stickball
3752,hand,ball,handball
2591,eye,ball,eyeball
5816,pin,ball,pinball
